SampleSize,TimeMs
100,0.190375
100,2.5E-4
100,0.0045
100,0.0035
100,1.67E-4
100,0.003042
100,0.002375
100,0.003667
100,2.08E-4
100,0.002625
100,1.25E-4
100,0.003083
100,0.002084
100,0.002333
100,0.004667
100,0.002375
100,0.002167
100,2.5E-4
100,0.002167
100,0.004041
100,0.005291
100,0.0025
100,0.00675
100,0.003292
100,0.002209
100,0.00175
100,0.002625
100,0.0025
100,0.00275
100,0.002417
100,6.67E-4
100,1.25E-4
100,8.3E-5
100,2.5E-4
100,0.006584
100,0.003042
100,0.002291
100,0.010125
100,1.66E-4
100,0.00225
100,0.001584
200,0.008583
200,2.91E-4
200,0.005
200,0.001875
200,0.001708
200,0.001542
200,8.3E-5
200,1.67E-4
200,0.00225
200,0.001958
200,1.25E-4
200,1.25E-4
200,1.25E-4
200,8.4E-5
200,0.002375
200,0.001416
200,0.001458
200,0.001541
200,1.67E-4
200,1.25E-4
200,1.25E-4
200,0.001834
200,0.003375
200,7.92E-4
200,0.001917
200,0.001417
200,0.001417
200,1.25E-4
200,0.001625
200,0.001334
200,0.001375
200,8.3E-5
200,0.006458
200,0.001458
200,1.25E-4
200,0.0015
200,1.25E-4
200,8.3E-5
200,8.4E-5
200,0.001833
200,8.4E-5
300,0.002667
300,6.25E-4
300,1.25E-4
300,8.3E-5
300,4.16E-4
300,1.25E-4
300,8.3E-5
300,5.84E-4
300,0.005625
300,1.67E-4
300,3.75E-4
300,8.3E-5
300,0.009167
300,0.003625
300,0.001584
300,0.002083
300,1.25E-4
300,8.4E-5
300,1.25E-4
300,1.67E-4
300,0.003875
300,0.001542
300,0.002167
300,1.25E-4
300,4.2E-5
300,8.4E-5
300,8.3E-5
300,3.75E-4
300,2.09E-4
300,0.006083
300,0.003292
300,0.002083
300,0.001459
300,8.3E-5
300,0.003167
300,8.4E-5
300,1.25E-4
300,2.5E-4
300,2.08E-4
300,1.66E-4
300,4.2E-5
400,0.006
400,2.08E-4
400,6.25E-4
400,0.004708
400,6.25E-4
400,2.5E-4
400,1.25E-4
400,1.25E-4
400,8.4E-5
400,1.25E-4
400,8.3E-5
400,4.58E-4
400,1.25E-4
400,8.75E-4
400,0.004083
400,8.3E-5
400,0.021708
400,8.3E-5
400,0.002125
400,1.25E-4
400,1.25E-4
400,0.002125
400,1.25E-4
400,8.3E-5
400,0.002
400,1.25E-4
400,8.4E-5
400,1.25E-4
400,4.2E-5
400,0.003792
400,2.5E-4
400,0.001791
400,8.4E-5
400,8.3E-5
400,6.25E-4
400,0.004416
400,8.3E-5
400,1.25E-4
400,1.67E-4
400,1.25E-4
400,2.09E-4
500,2.5E-4
500,1.66E-4
500,5.84E-4
500,3.34E-4
500,1.66E-4
500,4.17E-4
500,1.25E-4
500,1.25E-4
500,8.3E-5
500,8.3E-5
500,8.3E-5
500,1.25E-4
500,1.25E-4
500,2.08E-4
500,1.25E-4
500,1.25E-4
500,0.005334
500,2.09E-4
500,2.09E-4
500,2.91E-4
500,2.09E-4
500,2.08E-4
500,5.41E-4
500,2.92E-4
500,2.08E-4
500,1.25E-4
500,4.16E-4
500,0.004167
500,0.002125
500,1.67E-4
500,1.25E-4
500,8.3E-5
500,0.00375
500,3.33E-4
500,0.002542
500,0.001333
500,4.2E-5
500,0.0035
500,2.92E-4
500,0.002709
500,0.032666
600,2.5E-4
600,3.33E-4
600,3.33E-4
600,6.67E-4
600,3.75E-4
600,1.67E-4
600,1.25E-4
600,2.08E-4
600,0.0065
600,1.25E-4
600,8.3E-5
600,8.3E-5
600,2.5E-4
600,1.25E-4
600,2.5E-4
600,1.25E-4
600,0.003292
600,0.001792
600,4.58E-4
600,1.67E-4
600,8.4E-5
600,1.25E-4
600,1.25E-4
600,0.0025
600,2.5E-4
600,2.91E-4
600,1.25E-4
600,8.3E-5
600,1.25E-4
600,1.25E-4
600,0.009875
600,1.66E-4
600,8.3E-5
600,1.25E-4
600,8.3E-5
600,8.3E-5
600,8.3E-5
600,0.00425
600,2.08E-4
600,2.08E-4
600,1.25E-4
700,3.34E-4
700,0.009625
700,6.66E-4
700,8.33E-4
700,9.59E-4
700,2.08E-4
700,2.09E-4
700,3.33E-4
700,2.08E-4
700,3.75E-4
700,2.5E-4
700,0.001834
700,3.34E-4
700,1.25E-4
700,0.0105
700,2.08E-4
700,1.67E-4
700,8.3E-5
700,0.004
700,8.4E-5
700,0.003125
700,0.001
700,2.08E-4
700,2.08E-4
700,2.08E-4
700,4.17E-4
700,1.67E-4
700,0.003375
700,1.25E-4
700,4.58E-4
700,0.0015
700,3.33E-4
700,2.5E-4
700,4.16E-4
700,3.75E-4
700,2.91E-4
700,4.1E-5
700,0.036333
700,0.004708
700,0.0
700,0.0
800,0.0
800,0.0
800,0.0
800,4.1E-5
800,0.004292
800,4.1E-5
800,4.2E-5
800,4.1E-5
800,4.2E-5
800,0.0
800,0.0
800,4.1E-5
800,0.002208
800,0.0
800,0.0
800,0.0
800,0.0
800,0.0
800,0.0
800,0.0
800,0.0
800,4.2E-5
800,0.0
800,0.0
800,0.0
800,0.0
800,4.2E-5
800,0.0
800,4.2E-5
800,0.0
800,4.2E-5
800,0.0
800,4.2E-5
800,4.2E-5
800,0.0
800,4.2E-5
800,4.2E-5
800,0.0
800,4.2E-5
800,4.1E-5
800,4.2E-5
900,0.0
900,4.2E-5
900,0.0
900,0.0
900,0.0
900,0.0
900,0.0
900,0.0
900,0.0
900,4.1E-5
900,0.0
900,0.0
900,0.007
900,0.0
900,0.0
900,4.2E-5
900,0.006666
900,0.002041
900,0.0
900,4.1E-5
900,0.007209
900,0.0
900,0.001875
900,4.2E-5
900,4.2E-5
900,4.1E-5
900,0.0
900,4.1E-5
900,0.004
900,0.0
900,4.1E-5
900,0.0
900,0.0
900,0.0
900,4.2E-5
900,0.0
900,4.2E-5
900,0.0
900,0.0
900,0.0
900,0.0
1000,0.0
1000,0.003542
1000,0.002791
1000,0.0
1000,0.0
1000,4.1E-5
1000,4.2E-5
1000,0.00375
1000,0.0
1000,0.0
1000,0.0025
1000,0.0
1000,0.0
1000,0.0
1000,4.1E-5
1000,0.0
1000,0.0
1000,4.2E-5
1000,0.0
1000,0.0
1000,0.0
1000,0.0
1000,0.0
1000,4.1E-5
1000,0.0
1000,0.0
1000,0.0
1000,0.0
1000,4.1E-5
1000,4.2E-5
1000,0.0
1000,4.2E-5
1000,0.0
1000,4.2E-5
1000,4.2E-5
1000,0.007167
1000,0.0
1000,0.0
1000,4.1E-5
1000,0.0
1000,0.0
