SampleSize,TimeMs
50,0.0247
50,0.0596
50,0.0732
50,0.012
50,0.0091
50,0.0077
50,0.0182
50,0.0059
50,0.0087
50,0.0061
50,0.0059
50,0.0059
50,0.0076
50,0.0053
50,0.0059
50,0.0068
50,0.0059
50,0.0055
50,0.0063
50,0.0057
50,0.0062
50,0.0057
50,0.0061
50,0.0061
50,0.0062
50,0.0054
50,0.0054
50,0.0063
50,0.0057
50,0.0054
50,0.0077
50,0.0054
50,0.0053
50,0.0049
50,0.0055
50,0.0053
50,0.0158
50,0.0071
50,0.0094
50,0.0062
50,0.0057
70,0.0338
70,0.0147
70,0.0093
70,0.0094
70,0.0093
70,0.0082
70,0.0051
70,0.0048
70,0.0048
70,0.0044
70,0.0046
70,0.0045
70,0.0049
70,0.0046
70,0.0045
70,0.0046
70,0.0048
70,0.0046
70,0.0048
70,0.0043
70,0.0045
70,0.0842
70,0.0098
70,0.0085
70,0.0099
70,0.0122
70,0.0079
70,0.0089
70,0.0056
70,0.0059
70,0.0049
70,0.005
70,0.0045
70,0.0048
70,0.0042
70,0.0043
70,0.0045
70,0.0045
70,0.0043
70,0.0048
70,0.0055
90,0.0155
90,0.0204
90,0.0076
90,0.0156
90,0.0144
90,0.0075
90,0.0165
90,0.0126
90,0.0104
90,0.0087
90,0.015
90,0.011
90,0.0147
90,0.013
90,0.0094
90,0.0091
90,0.0099
90,0.0074
90,0.0065
90,0.0059
90,0.0062
90,0.0159
90,0.0192
90,0.0188
90,0.0139
90,0.0166
90,0.0149
90,0.0146
90,0.0137
90,0.0139
90,0.0496
90,0.0145
90,0.0149
90,0.0144
90,0.0137
90,0.0145
90,0.1107
90,0.0459
90,0.0168
90,0.0118
90,0.0117
110,0.0184
110,0.0151
110,0.0148
110,0.0209
110,0.018
110,0.0169
110,0.0149
110,0.0133
110,0.0096
110,0.0089
110,0.0082
110,0.0069
110,0.0071
110,0.0067
110,0.0067
110,0.0073
110,0.0072
110,0.007
110,0.018
