SampleSize,TimeMs
50,0.2718
50,0.0206
50,0.0219
50,0.0182
50,0.0243
50,0.09
50,0.0265
50,0.1055
50,0.0253
50,0.0574
50,0.2388
50,0.0135
50,0.0113
50,0.0084
50,0.0091
50,0.008
50,0.0325
50,0.0105
50,0.0114
50,0.0082
50,0.0121
50,0.0081
50,0.0106
50,0.0087
50,0.0091
50,0.0079
50,0.0089
50,0.0082
50,0.0103
50,0.0084
50,0.0105
50,0.0082
50,0.0101
50,0.0081
50,0.0096
50,0.0081
50,0.0113
50,0.0082
50,0.0094
50,0.0079
50,0.0117
50,0.0086
50,0.0099
50,0.0083
50,0.0107
50,0.0098
50,0.0115
50,0.0087
50,0.0089
50,0.0083
50,0.0088
50,0.0083
50,0.0091
50,0.0081
50,0.011
50,0.0081
50,0.0092
50,0.0084
50,0.0085
50,0.0101
50,0.0102
50,0.0079
50,0.0084
50,0.0078
50,0.0083
50,0.008
50,0.0083
50,0.0082
50,0.0085
50,0.008
50,0.0085
50,0.0081
50,0.0837
50,0.0171
50,0.0106
50,0.0094
50,0.0136
50,0.0888
50,0.0105
50,0.0087
50,0.0115
50,0.0081
70,0.0182
70,0.0128
70,0.1045
70,0.0552
70,0.0235
70,0.0095
70,0.0098
70,0.0098
70,0.0102
70,0.0265
70,0.0095
70,0.01
70,0.0192
70,0.0076
70,0.0089
70,0.0078
70,0.0079
70,0.0077
70,0.0078
70,0.0076
70,0.0085
70,0.0076
70,0.0082
70,0.0073
70,0.0104
70,0.0073
70,0.016
70,0.0087
70,0.0081
70,0.0077
70,0.0076
70,0.0077
70,0.009
70,0.0093
70,0.0086
70,0.0072
70,0.0111
70,0.0108
70,0.0115
70,0.0086
70,0.0112
70,0.0105
70,0.0111
70,0.0098
70,0.0237
70,0.0181
70,0.0173
70,0.0161
70,0.0199
70,0.0167
70,0.0505
70,0.0157
70,0.016
70,0.0119
70,0.0133
70,0.0121
70,0.015
70,0.0106
70,0.0107
70,0.0099
70,0.01
70,0.0117
70,0.0106
70,0.0096
70,0.0096
70,0.0099
70,0.0098
70,0.0088
70,0.0092
70,0.0094
70,0.0097
70,0.0096
70,0.0095
70,0.0095
70,0.01
70,0.0097
70,0.0093
70,0.0091
70,0.0099
70,0.0093
70,0.0133
70,0.0099
90,0.026
90,0.0211
90,0.027
90,0.0315
90,0.0134
90,0.0131
90,0.0934
90,0.0228
90,0.0252
90,0.0208
90,0.1347
90,0.0138
90,0.0298
90,0.0211
90,0.0193
90,0.0178
90,0.0184
90,0.017
90,0.0207
90,0.0142
90,0.0325
90,0.0218
90,0.026
90,0.0175
90,0.0286
90,0.027
90,0.0248
90,0.0167
90,0.017
90,0.0161
90,0.0158
90,0.0148
90,0.0148
90,0.0142
90,0.0139
90,0.0127
90,0.0127
90,0.0127
90,0.0116
90,0.0119
90,0.0125
90,0.0112
90,0.0271
90,0.0208
90,0.031
90,0.0244
