SampleSize,TimeMs
50,17.7191
50,0.008
50,0.0068
50,0.0096
50,0.011
50,0.0676
50,0.0072
50,0.0059
50,0.0098
50,0.0819
50,0.1221
50,0.0278
50,0.0039
50,0.0055
50,0.0034
50,0.0044
50,0.0041
50,0.0043
50,0.0039
50,0.0034
50,0.0032
50,0.0052
50,0.0035
50,0.0031
50,0.0037
50,0.0039
50,0.003
50,0.003
50,0.0031
50,0.0045
50,0.0032
50,0.0887
50,0.0066
50,0.003
50,0.0097
50,0.0079
50,0.0065
50,0.0048
50,0.004
50,0.0035
50,0.0031
70,0.0386
70,0.0046
70,0.0064
70,0.0052
70,0.0039
70,0.0037
70,0.0113
70,0.0102
70,0.0056
70,0.0042
70,0.004
70,0.0036
70,0.0038
70,0.0037
70,0.0037
70,0.0037
70,0.0038
70,0.0048
70,0.0035
70,0.0042
70,0.0036
70,0.0039
70,0.0036
70,0.0035
70,0.0036
70,0.0036
70,0.0103
70,0.0089
70,0.0067
70,0.0191
70,0.0093
70,0.0089
70,0.0078
70,0.007
70,0.0072
70,0.0054
70,0.0055
70,0.0184
70,0.0095
70,0.008
70,0.0135
90,0.0139
90,0.011
90,0.0087
90,0.019
90,0.2923
90,0.0191
90,0.0234
90,0.0122
90,0.0081
90,0.0072
90,0.0058
90,0.0052
90,0.0052
90,0.0052
90,0.0044
90,0.0048
90,0.0047
90,0.0063
90,0.0158
90,0.0096
90,0.0171
90,0.0106
90,0.0103
90,0.0501
90,0.0154
90,0.0081
90,0.0066
90,0.0137
90,0.0148
90,0.0106
90,0.0108
90,0.0077
90,0.0074
90,0.0073
90,0.006
90,0.0059
90,0.0719
90,0.0189
90,0.0027
90,0.0691
90,0.0072
110,0.0462
110,0.0145
110,0.0048
110,0.0063
110,0.0054
110,0.0097
110,0.0056
110,0.0038
110,0.0028
110,0.0027
110,0.0022
110,0.0047
110,0.004
110,0.0037
110,0.0031
110,0.003
110,0.0051
110,0.0029
110,0.0093
110,0.0943
110,0.0068
110,0.0218
110,0.0024
110,0.0016
110,0.0023
110,0.002
110,0.0019
110,0.0021
110,0.0021
110,0.0027
110,0.0023
110,0.0022
110,0.0018
110,0.0022
110,0.0017
110,0.0021
110,0.0023
110,0.0019
110,0.0023
110,0.0021
110,0.0021
130,0.0029
130,0.0025
130,0.0033
130,0.0024
130,0.0048
130,0.0042
130,0.0024
130,0.0025
130,0.0023
130,0.0024
130,0.0023
130,0.0022
130,0.0055
130,0.0071
130,0.0063
130,0.006
130,0.4238
130,0.0135
130,0.0024
130,0.0024
130,0.0024
130,0.0022
130,0.0024
130,0.0023
130,0.0022
130,0.0025
130,0.0024
130,0.0026
130,0.0023
130,0.0021
130,0.0022
130,0.0023
130,0.002
130,0.002
130,0.0023
130,0.0032
130,0.0029
130,0.0028
130,0.0027
130,0.0023
130,0.0024
150,0.0031
150,0.0027
150,0.0059
150,0.0059
150,0.0057
150,0.0028
150,0.0034
150,0.0025
150,0.0079
150,0.0058
150,0.0052
150,0.0048
150,0.0057
150,0.0051
150,0.0038
150,0.003
150,0.015
150,0.0022
150,0.0088
150,0.0027
150,0.0022
150,0.0019
