SampleSize,TimeMs
50,14.8604
50,0.1073
50,0.0375
50,0.0077
50,0.0101
50,0.0453
50,0.0079
50,0.0072
50,0.0091
50,0.1198
50,0.0976
50,0.0284
50,0.0042
50,0.0066
50,0.0041
50,0.0051
50,0.0041
50,0.0041
50,0.0045
50,0.0043
50,0.0042
50,0.0032
50,0.0032
50,0.0031
50,0.0055
50,0.0054
50,0.0039
50,0.0035
50,0.003
50,0.0043
50,0.0068
50,0.0723
50,0.0052
50,0.0034
50,0.003
50,0.0028
50,0.0033
50,0.003
50,0.008
50,0.0049
50,0.0033
70,0.0367
70,0.0069
70,0.0046
70,0.0048
70,0.0041
70,0.0044
70,0.0053
70,0.0044
70,0.0083
70,0.0069
70,0.0056
70,0.0042
70,0.0038
70,0.0058
70,0.0047
70,0.0044
70,0.0042
70,0.005
70,0.0038
70,0.004
70,0.0042
70,0.0124
70,0.0085
70,0.0058
70,0.0067
70,0.0056
70,0.0042
70,0.0043
70,0.004
70,0.0118
70,0.0056
70,0.0042
70,0.0042
70,0.004
70,0.0094
70,0.0044
70,0.0045
70,0.0045
70,0.0038
70,0.0038
70,0.004
90,0.0073
90,0.0319
90,0.0069
90,0.0062
90,0.0719
90,0.0205
90,0.0115
90,0.0108
90,0.0109
90,0.0066
90,0.006
90,0.0051
90,0.0053
90,0.0095
90,0.0054
90,0.0086
90,0.0081
90,0.0099
90,0.0056
90,0.0093
90,0.0054
90,0.005
90,0.005
90,0.0049
90,0.005
90,0.005
90,0.005
90,0.0049
90,0.0051
90,0.0049
90,0.005
90,0.0075
90,0.0076
90,0.0134
90,0.0094
90,0.0133
90,0.0957
90,0.0229
90,0.0024
90,0.0381
90,0.0062
110,0.026
110,0.0243
110,0.0053
110,0.0095
110,0.0063
110,0.0045
110,0.0049
110,0.0038
110,0.003
110,0.0028
110,0.0023
110,0.0083
110,0.0026
110,0.0026
110,0.0028
110,0.0021
110,0.0023
110,0.0023
110,0.0024
110,0.0927
110,0.0045
110,0.0048
110,0.0274
110,0.4261
110,0.0079
110,0.0045
110,0.0042
110,0.0057
110,0.0023
110,0.0018
110,0.0018
110,0.0018
110,0.0055
110,0.0022
110,0.0018
110,0.002
110,0.006
110,0.0045
110,0.0036
110,0.003
