SampleSize,TimeMs
50,17.4064
50,0.0937
50,0.0142
50,0.0157
50,0.0174
50,0.1014
50,0.1002
50,0.0854
50,0.0117
50,0.0126
50,0.1549
50,0.038
50,0.0057
50,0.0079
50,0.0966
50,0.021
50,0.0087
50,0.0554
50,0.0247
50,0.0052
50,0.004
50,0.0036
50,0.0041
50,0.0037
50,0.0076
50,0.0052
50,0.007
50,0.0056
50,0.0788
50,0.037
50,0.0066
50,0.0733
50,0.0068
50,0.0039
50,0.0036
50,0.0047
50,0.0048
50,0.0036
50,0.0036
50,0.0036
50,0.0037
70,0.0295
70,0.0128
70,0.007
70,0.0051
70,0.0052
70,0.0112
70,0.0073
70,0.0118
70,0.0052
70,0.0047
70,0.0841
70,0.0072
70,0.0128
70,0.0045
70,0.0047
70,0.0089
70,0.0053
70,0.0065
70,0.0048
70,0.0048
70,0.005
70,0.0066
70,0.0065
70,0.005
70,0.0057
70,0.0055
70,0.0045
70,0.0077
70,0.0069
70,0.0307
70,0.0084
70,0.0081
70,0.0056
70,0.0042
70,0.0051
70,0.0048
70,0.009
70,0.0049
70,0.0047
70,0.0085
70,0.0076
90,0.0081
90,0.0127
90,0.0069
90,0.0066
90,0.0089
90,0.0072
90,0.006
90,0.006
90,0.0056
90,0.0112
90,0.0064
90,0.0051
90,0.0054
90,0.0073
90,0.0062
90,0.0884
90,0.0103
90,0.008
90,0.0061
90,0.0118
90,0.0059
90,0.0054
90,0.0051
90,0.0056
90,0.0064
90,0.0054
90,0.0051
90,0.0057
90,0.0054
90,0.005
90,0.0058
90,0.0054
90,0.0058
90,0.0069
90,0.0057
90,0.0242
90,0.069
90,0.038
90,0.0034
90,0.0025
90,0.0063
110,0.0135
110,0.0033
110,0.0035
110,0.0091
110,0.0045
110,0.0076
110,0.0082
110,0.0068
110,0.0064
110,0.0044
110,0.0045
110,0.0031
110,0.0032
110,0.0048
110,0.003
110,0.0058
110,0.0034
110,0.0083
110,0.0047
110,0.0412
110,0.0037
110,0.0039
110,0.0065
110,0.0037
