SampleSize,TimeMs
50,0.2343
50,0.0145
50,0.0238
50,0.0138
50,0.0949
50,0.0204
50,0.031
50,0.0102
50,0.0161
50,0.0824
50,0.0819
50,0.0105
50,0.0298
50,0.009
50,0.0106
50,0.0088
50,0.0207
50,0.0134
50,0.0276
50,0.0195
50,0.0177
50,0.0202
50,0.0138
50,0.0107
50,0.0101
50,0.0096
50,0.0111
50,0.0094
50,0.0114
50,0.0092
50,0.0128
50,0.0115
50,0.0132
50,0.0089
50,0.013
50,0.0092
50,0.0123
50,0.0099
50,0.0101
50,0.0084
50,0.0115
50,0.0089
50,0.0155
50,0.0093
50,0.0164
50,0.0145
50,0.0105
50,0.0086
50,0.0114
50,0.0084
50,0.0097
50,0.0088
50,0.0102
50,0.009
50,0.0097
50,0.0091
50,0.0097
50,0.009
50,0.0111
50,0.0086
50,0.0092
50,0.0081
50,0.0094
50,0.0084
50,0.0099
50,0.0085
50,0.0097
50,0.0085
50,0.0095
50,0.0786
50,0.0414
50,0.0139
50,0.0143
50,0.01
50,0.0117
50,0.0091
50,0.0089
50,0.0082
50,0.0092
50,0.0127
50,0.0101
50,0.0079
70,0.0377
70,0.0126
70,0.0146
70,0.0111
70,0.0183
70,0.0095
70,0.0097
70,0.0091
70,0.0097
70,0.0095
70,0.0089
70,0.0087
70,0.0103
70,0.0973
70,0.019
70,0.0139
70,0.0158
70,0.0116
70,0.0167
70,0.0112
70,0.0117
70,0.0108
70,0.0388
70,0.0104
70,0.0108
70,0.0105
70,0.0106
70,0.0105
70,0.0099
70,0.01
70,0.0107
70,0.0093
70,0.0101
70,0.0118
70,0.0103
70,0.0092
70,0.0096
70,0.0102
70,0.0109
70,0.009
70,0.0118
70,0.0096
70,0.0112
70,0.0099
70,0.011
70,0.0099
70,0.0101
70,0.0097
70,0.0098
70,0.0093
70,0.0096
70,0.0091
70,0.0224
70,0.0152
70,0.0183
70,0.0147
70,0.0175
70,0.0138
70,0.0243
70,0.0189
70,0.0187
70,0.0225
70,0.0172
70,0.0167
70,0.0171
70,0.0152
70,0.0159
70,0.0143
70,0.0144
70,0.0136
70,0.0137
70,0.0121
70,0.0114
70,0.0114
70,0.0244
70,0.0182
70,0.0196
70,0.0196
70,0.018
70,0.0131
70,0.0275
70,0.0205
90,0.0268
90,0.0217
90,0.0212
90,0.0212
90,0.0185
90,0.0173
90,0.0479
90,0.0507
90,0.0229
90,0.016
90,0.0197
90,0.1037
90,0.0231
90,0.0198
90,0.0192
90,0.0186
90,0.0186
90,0.0157
90,0.0161
90,0.0153
90,0.0143
90,0.0139
90,0.0135
90,0.0133
90,0.0126
90,0.0154
90,0.0127
90,0.012
90,0.0125
90,0.0119
90,0.0129
90,0.0138
90,0.0117
90,0.0116
90,0.0134
90,0.0126
90,0.0303
90,0.0215
90,0.0159
90,0.0308
90,0.0346
90,0.0238
90,0.0211
90,0.0188
90,0.0215
90,0.0196
90,0.0292
90,0.0253
90,0.0276
90,0.0224
90,0.0187
90,0.0153
90,0.0152
90,0.0135
90,0.0273
90,0.0206
90,0.0315
90,0.0242
90,0.0234
90,0.0201
90,0.0257
90,0.0188
90,0.0176
90,0.0161
90,0.0169
90,0.0158
90,0.0151
90,0.0145
90,0.0151
90,0.0137
90,0.0153
90,0.0126
90,0.0129
90,0.012
90,0.0123
90,0.0121
90,0.0156
90,0.0125
90,0.016
90,0.0127
90,0.1237
90,0.0228
110,0.0339
110,0.0258
110,0.0245
110,0.023
110,0.0244
110,0.0213
110,0.1361
110,0.1571
110,0.4729
110,0.0357
110,0.0399
110,0.0275
110,0.089
110,0.0197
110,0.021
110,0.0158
110,0.0157
110,0.0147
110,0.0163
110,0.0145
110,0.0162
110,0.0145
110,0.1307
110,0.0218
110,0.0203
110,0.019
110,0.0187
110,0.0224
110,0.0187
110,0.0173
110,0.0181
110,0.0156
110,0.0374
110,0.0145
110,0.0169
110,0.0192
110,0.0352
110,0.0307
110,0.0188
110,0.0147
110,0.0332
110,0.0229
110,0.0119
110,0.0103
110,0.0104
110,0.0123
110,0.0109
110,0.0103
110,0.0101
110,0.0102
110,0.0096
110,0.0091
110,0.0097
110,0.0098
110,0.0103
110,0.0099
110,0.0102
110,0.0087
110,0.0162
110,0.0112
110,0.0127
110,0.0111
110,0.0127
110,0.0172
110,0.0122
110,0.0126
110,0.0131
110,0.0125
110,0.0124
110,0.0123
110,0.0124
110,0.0117
110,0.0125
110,0.0126
110,0.013
110,0.011
110,0.013
110,0.0118
110,0.0133
110,0.0121
110,0.0134
110,0.0123
130,0.0208
130,0.0145
130,0.0161
130,0.0159
130,0.0166
130,0.0147
130,0.0152
130,0.0153
130,0.038
130,0.2877
130,0.0215
130,0.0255
130,0.0169
130,0.0156
130,0.0169
130,0.0205
130,0.0159
130,0.0147
130,0.0151
130,0.0153
130,0.0158
130,0.0153
130,0.0156
130,0.0152
130,0.0259
130,0.0224
130,0.0364
130,0.0298
130,0.1925
130,0.1779
130,0.0678
130,0.0292
130,0.0191
130,0.1093
130,0.0199
130,0.0164
130,0.0174
130,0.016
130,0.0183
130,0.0158
130,0.0169
130,0.0164
130,0.0163
130,0.0161
130,0.0159
130,0.0164
130,0.0171
130,0.0214
130,0.0157
130,0.0164
130,0.0182
130,0.0163
130,0.0166
130,0.016
130,0.016
130,0.0147
130,0.0157
130,0.0152
130,0.0146
130,0.0149
130,0.0153
130,0.0156
130,0.0166
130,0.0149
130,0.0159
130,0.0146
130,0.0153
130,0.0148
130,0.0156
130,0.0149
130,0.0248
130,0.0169
130,0.0222
130,0.0168
130,0.0164
130,0.0159
130,0.0168
130,0.0165
130,0.0206
130,0.0178
130,0.0167
130,0.0142
150,0.0224
150,0.0201
150,0.0195
150,0.0187
150,0.0417
150,0.035
150,0.0337
150,0.0327
150,0.0322
150,0.0325
150,0.0257
150,0.022
150,0.0284
150,0.0203
150,0.0215
150,0.0199
150,0.0512
150,0.0557
150,0.035
150,0.0329
150,0.0321
150,0.0329
150,0.0366
150,0.0325
150,0.1166
150,0.0254
150,0.0911
150,0.0245
150,0.0264
150,0.0241
150,0.0222
150,0.0195
150,0.0194
150,0.0185
150,0.0199
150,0.019
150,0.0196
150,0.0224
150,0.0191
150,0.0178
150,0.0185
150,0.0182
150,0.0187
150,0.0178
150,0.0191
150,0.0175
150,0.0188
150,0.0169
150,0.0187
150,0.017
150,0.0183
150,0.0185
150,0.019
150,0.0166
150,0.0194
150,0.0165
150,0.0258
150,0.0195
150,0.0201
150,0.0187
150,0.0206
150,0.0191
150,0.0244
150,0.0204
150,0.0284
150,0.0199
150,0.0218
150,0.0189
150,0.0199
150,0.0201
150,0.0188
150,0.0186
150,0.052
150,0.0357
150,0.0293
150,0.0275
150,0.0258
150,0.0267
150,0.0325
150,0.0244
150,0.0295
