SampleSize,TimeMs
50,0.5344
50,0.0163
50,0.0286
50,0.0145
50,0.1804
50,0.089
50,0.0363
50,0.011
50,0.0147
50,0.0873
50,0.1316
50,0.0179
50,0.0134
50,0.0098
50,0.0121
50,0.0103
50,0.0149
50,0.0096
50,0.0131
50,0.0089
50,0.0148
50,0.0097
50,0.0217
50,0.0156
50,0.0161
50,0.0105
50,0.0175
50,0.0107
50,0.0155
50,0.0101
50,0.0143
50,0.0419
50,0.014
50,0.0097
50,0.0148
50,0.0108
50,0.0145
50,0.0107
50,0.0147
50,0.0108
50,0.0234
50,0.0113
50,0.0112
50,0.0106
50,0.0103
50,0.0091
50,0.0102
50,0.0089
50,0.017
50,0.0125
50,0.0208
50,0.0963
50,0.0248
50,0.01
50,0.0097
50,0.0098
50,0.0104
50,0.009
50,0.0146
50,0.0094
50,0.0095
50,0.0906
50,0.0296
50,0.0089
50,0.0105
50,0.0082
50,0.0086
50,0.0075
50,0.0084
50,0.0081
50,0.0083
50,0.0078
50,0.0086
50,0.0079
50,0.0112
50,0.008
50,0.0191
50,0.0129
50,0.0125
50,0.0122
50,0.0105
50,0.0093
70,0.0338
70,0.0116
70,0.0106
70,0.0097
70,0.011
70,0.0104
70,0.0096
70,0.0099
70,0.0104
70,0.0091
70,0.0098
70,0.0094
70,0.0116
70,0.0088
70,0.0101
70,0.0089
70,0.1119
70,0.014
70,0.0173
70,0.0125
70,0.0127
70,0.0113
70,0.011
70,0.0105
70,0.0122
70,0.0104
70,0.0454
70,0.0123
70,0.0113
70,0.0104
70,0.0106
70,0.0098
70,0.0097
70,0.0115
70,0.0097
70,0.0089
70,0.0103
70,0.0096
70,0.0107
70,0.0093
70,0.0103
70,0.0098
70,0.0215
70,0.0167
70,0.0176
70,0.014
70,0.0135
70,0.0099
70,0.0129
70,0.0096
70,0.0131
70,0.0098
70,0.01
70,0.0099
70,0.0103
70,0.0094
70,0.0137
70,0.0093
70,0.0163
70,0.0127
70,0.0139
70,0.0149
70,0.0103
70,0.0095
70,0.0117
70,0.0103
70,0.0097
70,0.0096
70,0.0136
70,0.0103
70,0.0103
70,0.0097
70,0.0096
70,0.009
70,0.0116
70,0.0095
70,0.0097
70,0.0093
70,0.01
70,0.0095
70,0.0092
70,0.0088
90,0.0173
90,0.0136
90,0.0159
90,0.0335
90,0.0164
90,0.0139
90,0.0465
90,0.0152
90,0.0175
90,0.0284
90,0.133
90,0.029
90,0.0245
90,0.0216
90,0.0214
90,0.0209
90,0.0459
90,0.064
90,0.0169
90,0.0153
90,0.0152
90,0.0137
90,0.013
90,0.0139
90,0.0138
90,0.0153
90,0.0174
90,0.0142
90,0.0139
90,0.0129
90,0.0146
90,0.0133
90,0.0187
90,0.015
90,0.0145
90,0.0144
90,0.0143
90,0.0139
90,0.0166
90,0.0142
90,0.0143
90,0.0128
90,0.0133
90,0.0124
90,0.0137
90,0.0127
90,0.0129
90,0.0147
90,0.0138
90,0.0125
90,0.0131
90,0.0128
90,0.0129
90,0.012
90,0.0133
90,0.0117
90,0.0129
90,0.0141
90,0.0131
90,0.0115
90,0.0143
90,0.0119
90,0.0165
90,0.0128
90,0.0211
90,0.0138
90,0.0282
90,0.0214
90,0.0209
90,0.019
90,0.0294
90,0.0218
90,0.0239
90,0.0206
90,0.0148
90,0.0131
90,0.0142
90,0.0121
90,0.0126
90,0.017
90,0.1103
90,0.0459
110,0.0952
110,0.0258
110,0.0195
110,0.0158
110,0.0153
110,0.0147
110,0.0335
110,0.8135
110,0.3835
110,0.045
110,0.0343
110,0.0231
110,0.0288
110,0.0202
110,0.0202
110,0.0178
110,0.0181
110,0.0154
110,0.0206
110,0.0153
110,0.0158
110,0.0161
110,0.036
110,0.0305
110,0.0194
110,0.0153
110,0.0173
110,0.0211
110,0.0157
110,0.0227
110,0.0161
110,0.0146
110,0.015
110,0.0146
110,0.0159
110,0.0144
110,0.014
110,0.0144
110,0.1324
110,0.0216
110,0.0222
110,0.0203
110,0.0214
110,0.0209
110,0.0194
110,0.0211
110,0.0297
110,0.0262
110,0.6663
110,0.0309
110,0.0765
110,0.0239
110,0.0248
110,0.0227
110,0.1097
110,0.0273
110,0.0146
110,0.014
110,0.0154
110,0.0139
110,0.0148
110,0.0139
110,0.0136
110,0.0172
110,0.024
110,0.0248
110,0.0167
110,0.0136
110,0.0132
110,0.0136
110,0.0135
110,0.0128
110,0.0385
110,0.0295
110,0.0242
110,0.0222
110,0.0216
110,0.0199
110,0.0196
110,0.0182
110,0.0292
110,0.0232
130,0.0216
130,0.0166
130,0.0168
130,0.0164
130,0.0182
130,0.0158
130,0.0217
130,0.0168
130,0.0168
130,0.0163
130,0.0169
130,0.017
130,0.0174
130,0.0151
130,0.0166
130,0.0208
130,0.0342
130,0.0278
130,0.0244
130,0.0227
130,0.0236
130,0.0254
130,0.0203
130,0.0198
130,0.019
130,0.0169
130,0.0166
130,0.0166
130,0.1128
130,0.112
130,0.0456
130,0.0194
130,0.0217
130,0.0184
130,0.0192
130,0.0182
130,0.0176
130,0.0168
130,0.0168
130,0.0156
130,0.0172
130,0.0169
130,0.0175
130,0.0162
130,0.0649
130,0.0183
130,0.0206
130,0.0211
130,0.0407
130,0.0328
130,0.0377
130,0.0304
130,0.0279
130,0.0281
130,0.0272
130,0.0274
130,0.0251
130,0.0249
130,0.0258
130,0.0195
130,0.0211
130,0.019
130,0.0269
130,0.0189
130,0.0188
130,0.017
130,0.0211
130,0.0171
130,0.0381
130,0.0591
130,0.0341
130,0.0272
130,0.0261
130,0.0243
130,0.0227
130,0.0205
130,0.02
130,0.0197
130,0.024
130,0.0186
130,0.0178
130,0.0168
150,0.0743
150,0.0339
150,0.0685
150,0.0213
150,0.042
150,0.0359
150,0.0365
150,0.0286
150,0.0263
150,0.0246
150,0.0278
150,0.0234
150,0.0216
150,0.023
150,0.0194
150,0.018
150,0.0182
150,0.0227
150,0.0179
150,0.0176
150,0.0164
150,0.0166
150,0.0166
150,0.0171
150,0.019
150,0.0169
150,0.0356
150,0.1976
150,0.0233
150,0.019
150,0.0365
150,0.0189
150,0.0192
150,0.0184
150,0.0203
150,0.0186
150,0.0188
150,0.0215
150,0.0369
150,0.0323
150,0.043
150,0.0178
150,0.0189
150,0.0184
150,0.0187
150,0.0167
150,0.0176
150,0.0172
150,0.0178
150,0.0179
150,0.0173
150,0.0196
150,0.0174
150,0.016
150,0.0183
150,0.0366
150,0.0367
150,0.0313
150,0.0214
150,0.0188
150,0.0187
150,0.0181
150,0.0343
150,0.0299
150,0.0477
150,0.0277
150,0.0195
150,0.0202
150,0.0153
150,0.0148
150,0.0159
150,0.0153
150,0.0153
150,0.0164
150,0.0151
150,0.0147
150,0.0208
150,0.0181
150,0.0217
150,0.0175
150,0.0177
150,0.0182
170,0.0216
170,0.0186
170,0.0409
170,0.035
170,0.0324
170,0.0297
170,0.0288
170,0.0289
170,0.0328
170,0.0261
170,0.0414
170,0.0482
170,0.0689
170,0.0348
170,0.0369
170,0.0332
170,0.0406
170,0.0356
170,0.045
170,0.9266
170,0.0454
170,0.0405
170,0.0406
170,0.0338
170,0.0906
170,0.0293
170,0.0329
170,0.0282
170,0.0364
170,0.0334
170,0.0273
170,0.0288
170,0.0317
170,0.0257
170,0.0245
170,0.0232
170,0.0211
170,0.0213
170,0.0231
170,0.0197
170,0.0207
170,0.0197
170,0.021
170,0.0239
170,0.0212
170,0.018
170,0.0197
170,0.0182
170,0.0325
170,0.0852
170,0.0243
170,0.022
170,0.0292
170,0.0253
170,0.0411
170,0.0379
170,0.0282
170,0.0224
170,0.0214
170,0.0227
170,0.0217
170,0.0204
170,0.0217
170,0.0207
170,0.0229
170,0.0208
170,0.0203
170,0.0448
170,0.0242
170,0.0206
170,0.021
170,0.0216
170,0.0203
170,0.021
170,0.0438
170,0.0326
170,0.0238
170,0.0207
170,0.0393
170,0.0337
170,0.0391
170,0.0337
190,0.0372
190,0.0368
190,0.0333
190,0.0297
190,0.0299
190,0.0262
190,0.0285
190,0.2168
190,0.0603
190,0.096
190,0.0868
190,0.0463
190,0.0794
190,0.0621
190,0.0393
190,0.0413
190,0.1156
190,0.0401
190,0.0687
190,0.051
190,0.0334
190,0.0279
190,0.0293
190,0.0286
190,0.054
190,0.0468
190,0.0404
190,0.0366
190,0.1196
190,0.0377
190,0.0336
190,0.0279
190,0.0298
190,0.0283
190,0.0264
190,0.0276
190,0.0287
190,0.0283
190,0.0548
190,0.0279
190,0.1028
190,0.0341
190,0.0289
190,0.0329
190,0.026
190,0.0247
190,0.026
190,0.0245
190,0.0262
190,0.025
190,0.0241
190,0.0244
190,0.0346
190,0.0239
190,0.0237
190,0.024
190,0.0232
190,0.0257
190,0.023
190,0.0229
190,0.0232
190,0.0229
190,0.0411
190,0.023
190,0.0337
190,0.0278
190,0.029
190,0.0279
190,0.0258
190,0.0274
190,0.0317
190,0.0234
190,0.0241
190,0.0265
190,0.0248
190,0.066
190,0.0244
190,0.0214
190,0.0255
190,0.0246
190,0.0246
190,0.0235
210,0.0311
210,0.0257
210,0.0302
210,0.028
210,0.0268
210,0.0242
210,0.0263
210,0.0266
210,0.0262
210,0.0265
210,0.0305
210,0.0254
210,0.1297
210,0.0265
210,0.0304
210,0.0257
210,0.0486
210,0.0269
210,0.0381
210,0.037
210,0.0325
210,0.033
210,0.0355
210,0.0312
210,0.0302
210,0.0318
210,0.0283
210,0.0264
210,0.0284
210,0.027
210,0.0259
210,0.0332
210,0.0667
210,0.027
210,0.0276
210,0.0258
210,0.0281
210,0.0252
210,0.027
210,0.0258
210,0.0272
210,0.0272
210,0.026
210,0.0235
210,0.0259
210,0.0265
210,0.0272
210,0.0256
210,0.0315
210,0.0258
210,0.0321
210,0.0264
210,0.027
210,0.0273
210,0.0267
210,0.0349
210,0.026
210,0.0248
210,0.0248
210,0.0278
210,0.0256
210,0.0235
210,0.0286
210,0.0235
210,0.0248
210,0.0231
210,0.0244
210,0.0268
210,0.0297
210,0.026
210,0.0259
210,0.0245
210,0.0255
210,0.0239
210,0.0266
210,0.0243
210,0.0305
210,0.0252
210,0.0299
210,0.0257
210,0.0353
210,0.026
230,0.0319
230,0.0278
230,0.0287
230,0.0271
230,0.1429
230,0.0516
230,0.0432
230,0.0382
230,0.0433
230,0.0373
230,0.0387
230,0.0372
230,0.0398
230,0.039
230,0.0425
230,0.042
