SampleSize,TimeMs
50,1.3558
50,0.0221
50,0.0382
50,0.0208
50,0.026
50,0.0427
50,1.0885
50,0.024
50,0.0253
50,0.2078
50,0.4177
50,0.0175
50,0.028
50,0.0118
50,0.3083
50,0.021
50,0.0168
50,0.0106
50,0.0174
50,0.0119
50,0.0129
50,0.0117
50,0.09
50,0.0118
50,0.0157
50,0.0117
50,0.0116
50,0.0089
50,0.0158
50,0.0115
50,0.019
50,0.0136
50,0.0221
50,0.0106
50,0.0165
50,0.0129
50,0.0174
50,0.015
50,0.0194
50,0.0096
50,0.012
50,0.0217
50,0.011
50,0.0093
50,0.0118
50,0.0089
50,0.0102
50,0.0103
50,0.019
50,0.0131
50,0.0155
50,0.0105
50,0.0312
50,0.1678
50,0.0212
50,0.0145
50,0.0117
50,0.0094
50,0.0167
50,0.0097
50,0.0176
50,0.0153
50,0.0148
50,0.0099
50,0.0168
50,0.0093
50,0.0102
50,0.009
50,0.0098
50,0.0094
50,0.0092
50,0.0171
50,0.0113
50,0.0091
50,0.0101
50,0.0091
50,0.0096
50,0.0111
50,0.0093
50,0.0086
50,0.01
50,0.0092
70,0.0423
70,0.0181
70,0.0398
70,0.0236
70,0.0226
70,0.0145
70,0.0172
70,0.0158
70,0.019
70,0.027
70,0.2091
70,0.0683
70,0.0191
70,0.0135
70,0.0157
70,0.0143
70,0.0171
70,0.0119
70,0.0155
70,0.0146
70,0.0931
70,0.0128
70,0.0211
70,0.0136
70,0.0314
70,0.0119
70,0.0113
70,0.0121
70,0.0119
70,0.0112
70,0.1266
70,0.0238
70,0.0132
70,0.0132
70,0.0324
70,0.0142
70,0.0132
70,0.011
70,0.0113
70,0.0107
70,0.0115
70,0.0119
70,0.0171
70,0.012
70,0.0411
70,0.011
70,0.0145
70,0.0113
70,0.0126
70,0.011
70,0.0125
70,0.0105
70,0.0119
70,0.01
70,0.014
70,0.0173
70,0.0219
70,0.011
70,0.0159
70,4.8425
70,0.0225
70,0.018
70,0.0216
70,0.0112
70,0.0127
70,0.0154
70,0.0115
70,0.0101
70,0.0116
70,0.0125
70,0.0133
70,0.0112
70,0.0307
70,0.0123
70,0.0117
70,0.0104
70,0.0125
70,0.0103
70,0.0213
70,0.0117
70,0.0194
70,0.0115
90,0.0191
90,0.0133
90,0.0368
90,0.0218
90,0.0135
90,0.0128
90,0.0579
90,0.0183
90,0.0265
90,0.0182
90,0.0685
90,0.0142
90,0.0196
90,0.0125
90,0.1347
90,0.0142
90,0.0298
90,0.0124
90,0.0227
90,0.012
90,0.0272
90,0.0125
90,0.0124
90,0.0129
90,0.0131
90,0.0141
90,0.0135
90,0.0121
90,0.0149
90,0.0123
90,0.0311
90,0.0706
90,0.0189
90,0.0137
90,0.017
90,0.013
90,0.0171
90,0.0151
90,0.0358
90,0.0191
90,0.0148
90,0.0129
90,0.0134
90,0.0122
90,0.0133
90,0.0119
90,0.0134
90,0.0145
90,0.0138
90,0.0166
90,0.0137
90,0.0125
90,0.0131
90,0.0123
90,0.0144
90,0.0119
90,0.0209
90,0.0121
90,0.0123
90,0.0112
90,0.014
90,0.012
90,0.0139
90,0.0122
90,0.0129
90,0.0125
90,0.0131
90,0.0149
90,0.0136
90,0.012
90,0.0241
90,0.0135
90,0.0302
90,0.0168
90,0.018
90,0.0218
90,0.0143
90,0.0132
90,0.013
90,0.0121
90,0.0951
90,0.0193
110,0.0249
110,0.0209
110,0.0179
110,0.0163
110,0.017
110,0.0243
110,0.065
110,0.0925
110,0.3432
110,0.0387
110,0.0458
110,0.0428
110,0.0344
110,0.0282
110,0.0267
110,0.0247
110,0.0254
110,0.0233
110,0.024
110,0.0292
110,0.0198
110,0.0209
110,0.0183
110,0.0166
110,0.0166
110,0.0173
110,0.0205
110,0.0237
110,0.0204
110,0.0207
110,0.019
110,0.0178
110,0.0158
110,0.0161
110,0.0485
110,0.0541
110,0.0227
110,0.0175
110,0.0192
110,0.0168
110,0.0183
110,0.0224
110,0.018
110,0.0166
110,0.0216
110,0.031
110,0.0204
110,0.0175
110,0.0179
110,0.0183
110,0.017
110,0.0189
110,0.019
110,0.0196
110,0.0199
110,0.0238
110,0.0174
110,0.0164
110,0.0164
110,0.0171
