SampleSize,TimeMs
100,29.961583
100,3.0955
100,2.142542
100,1.486334
100,1.480459
100,1.460791
100,1.359084
100,1.434875
100,1.31275
100,1.321166
100,1.449667
100,1.304459
100,1.31475
100,1.31
100,1.281084
100,2.630458
100,1.176417
100,1.109
100,1.116375
100,1.122375
100,1.123
100,1.127042
100,1.10275
100,1.093167
100,1.128167
100,1.096625
100,1.069958
100,1.125667
100,2.153167
100,1.079708
100,1.0675
100,1.062459
100,1.076625
100,1.061709
100,1.097875
100,1.076083
100,1.065
100,1.097667
100,1.097333
100,1.1195
100,1.257167
100,1.16875
100,1.113833
100,1.128459
100,1.26625
100,1.35175
100,1.32525
100,1.185291
100,1.213167
100,1.177
100,1.1735
100,1.174
100,1.158875
100,1.16
100,1.158917
100,1.183125
100,1.173125
100,1.175208
100,1.227958
100,1.258
100,1.160458
100,1.195084
100,1.173292
100,1.162583
100,1.172792
100,1.194541
100,1.187334
100,1.186583
100,1.200209
100,2.310916
100,1.140958
100,1.101167
100,1.083833
100,1.102375
100,1.130792
100,1.084958
100,1.100542
100,1.087416
100,1.157042
100,1.010083
100,0.994375
100,1.001375
200,5.010708
200,5.211708
200,4.0015
200,3.361208
200,3.341
200,3.269625
200,3.288541
200,3.293459
200,3.252958
200,3.324708
200,3.270666
200,3.336833
200,2.712375
200,1.425417
200,1.428
200,1.314542
200,1.3385
200,1.323125
200,1.284
200,1.46875
200,1.464459
200,1.431084
200,1.439042
200,1.428958
200,1.45925
200,1.425875
200,1.477833
200,1.481583
200,1.497666
200,1.465625
200,1.50425
200,1.459875
200,1.506459
200,1.45975
200,1.495833
200,1.477416
200,1.491208
200,1.526083
200,1.506291
200,1.482625
200,1.439625
200,1.445583
200,1.480417
200,1.467875
200,1.440542
200,1.447667
200,1.433917
200,1.43725
200,1.442709
200,1.452083
200,1.442584
200,1.456959
200,1.462459
200,1.475416
200,1.458708
200,1.502833
200,1.217583
200,1.219375
200,1.204708
200,1.20725
200,1.191625
200,1.193875
200,1.195917
200,1.219208
200,1.217
200,1.215125
200,1.228125
200,1.224917
200,1.195458
200,1.139792
200,1.105958
200,0.965708
200,0.968416
200,0.943375
200,0.951833
200,0.892041
200,0.908792
200,0.900167
200,0.903583
200,0.850541
200,0.852416
200,0.840792
300,1.357084
300,1.379333
300,1.34325
300,1.36575
300,1.332875
300,1.259459
300,1.224084
300,1.227666
300,1.256
300,1.316584
300,1.252209
300,1.207292
300,1.187917
300,1.192083
300,1.227084
300,1.285541
300,1.254542
300,1.232625
300,1.217667
300,1.195333
300,1.236042
300,1.29375
300,1.271125
300,1.211916
300,1.233208
300,1.286291
300,1.26225
300,1.278333
300,1.211291
300,1.190625
300,1.1635
300,1.199
300,1.189625
300,1.188458
300,1.283875
300,1.228625
300,1.208333
300,1.180125
300,1.207916
300,1.216667
300,1.223667
300,1.199375
300,1.186875
300,1.190208
300,1.167125
300,1.169625
300,1.197667
300,1.152292
300,1.152416
300,1.097166
300,1.115375
300,1.158125
300,1.116666
300,1.141667
300,2.261084
300,1.001292
300,1.0455
300,1.038459
300,1.042833
300,1.04025
300,1.0495
300,1.039833
300,1.038084
300,1.046416
300,1.275291
300,1.180791
300,1.163833
300,1.242292
300,1.181125
300,1.09575
300,1.047625
300,1.26025
300,1.172834
300,1.241041
300,1.088041
300,1.105125
300,1.180583
300,1.299916
300,1.262667
300,1.265375
300,1.277792
300,1.264459
400,1.698
400,1.687833
400,1.713334
400,1.7485
400,1.778375
400,1.938917
400,1.720625
400,1.716791
400,1.78475
400,1.788334
400,1.72625
400,1.688041
400,1.739667
400,1.704041
400,1.694833
400,1.751833
400,1.72325
400,1.703459
400,1.714958
400,1.715834
400,1.692833
400,1.725458
400,1.713958
400,1.708333
400,1.711
400,1.708875
400,1.722291
400,1.72575
400,1.7095
400,1.704333
400,1.702375
400,1.707166
400,1.698167
400,1.707333
400,1.696084
400,1.69925
400,1.694875
400,1.695292
400,1.698375
400,1.69625
400,1.730875
400,1.693708
400,1.690625
400,1.659708
400,1.688459
400,1.674292
400,1.672833
400,1.705291
400,1.661208
