SampleSize,TimeMs
50,0.429625
50,0.011084
50,0.009292
50,0.012208
50,0.007417
50,0.007375
50,0.007333
50,0.006667
50,0.006458
50,0.0205
50,0.006667
50,0.005917
50,0.006041
50,0.006042
50,0.013333
50,0.00875
50,0.005959
50,0.006667
50,0.008125
50,0.005292
50,0.006625
50,0.0065
50,0.005167
50,0.005
50,0.005667
50,0.00525
50,0.004958
50,0.007208
50,0.00525
50,0.005125
50,0.005083
50,0.01125
50,0.005708
50,0.005125
50,0.00525
50,0.005084
50,0.006667
50,0.004917
50,0.004834
50,0.005291
50,0.006125
70,0.008792
70,0.008209
70,0.0055
70,0.006292
70,0.005416
70,0.005125
70,0.006458
70,0.005666
70,0.005084
70,0.005417
70,0.00675
70,0.005083
70,0.0065
70,0.00575
70,0.0065
70,0.0105
70,0.006167
70,0.005416
70,0.005334
70,0.005333
70,0.005125
70,0.005208
70,0.052334
70,0.018959
70,0.005541
70,0.010208
70,0.006708
70,0.00525
70,0.00525
70,0.009667
70,0.006125
70,0.004917
70,0.00475
70,0.004667
70,0.004584
70,0.00475
70,0.004666
70,0.004709
70,0.004583
70,0.007042
70,0.004792
90,0.008375
90,0.005625
90,0.005167
90,0.007792
90,0.012875
90,0.005041
90,0.004958
90,0.004958
90,0.004708
90,0.006042
90,0.004959
90,0.004708
90,0.006209
90,0.018291
90,0.016541
90,0.0055
90,0.004625
90,0.004333
90,0.005542
90,0.004584
90,0.004417
90,0.02525
90,0.006833
90,0.007
90,0.004875
90,0.004667
90,0.004541
90,0.004375
90,0.004125
90,0.004417
90,0.00825
90,0.008792
90,0.004792
90,0.003875
90,0.003709
90,0.00375
90,0.004625
90,0.003834
90,0.003625
90,0.00375
90,0.003541
110,0.008833
110,0.0045
110,0.004083
110,0.004125
110,0.008708
110,0.015417
110,0.009959
110,0.004125
110,0.003834
110,0.00375
110,0.003583
110,0.003625
110,0.003916
110,0.010833
110,0.006166
110,0.004958
110,0.004583
110,0.003667
110,0.007541
110,0.004166
110,0.0045
110,0.003792
110,0.004042
110,0.004833
110,0.006375
110,0.003667
110,0.012167
110,0.004791
110,0.003833
110,0.003791
110,0.003875
110,0.004
110,0.003791
110,0.003917
110,0.003625
110,0.012291
110,0.003792
110,0.011417
110,0.005416
110,0.004042
110,0.003833
130,0.007375
130,0.004667
130,0.003958
130,0.003958
130,0.004125
130,0.004
130,0.014209
130,0.01375
130,0.01075
130,0.003459
130,0.003291
130,0.003417
130,0.003459
130,0.0035
130,0.010667
130,0.00775
130,0.006625
130,0.006542
130,0.003333
130,0.004959
130,0.003291
130,0.003584
130,0.002958
130,0.003333
130,0.003584
130,0.003
130,0.002958
130,0.007625
130,0.010333
130,0.003375
130,0.016208
130,0.010334
130,0.002375
130,0.0035
130,0.002417
130,0.003125
130,0.002417
130,0.002291
130,0.002334
130,0.003375
130,0.002667
150,0.005125
150,0.002459
150,0.0025
150,0.0025
150,0.002792
150,0.002667
150,0.002709
150,0.002542
150,0.002416
150,0.002708
150,0.0025
150,0.002458
150,0.002375
150,0.002417
150,0.044667
150,0.002917
150,0.002542
150,0.003084
150,0.002958
150,0.002416
150,0.002417
150,0.003375
150,0.0025
150,0.002375
150,0.002458
150,0.002292
150,0.00225
150,0.00225
150,0.00225
150,0.002375
150,0.002333
150,0.002667
150,0.002333
150,0.002375
150,0.002333
150,0.002833
150,0.002583
150,0.003667
150,0.002333
150,0.003084
150,0.003875
170,0.004625
170,0.003334
170,0.002916
170,0.002667
170,0.002667
170,0.002417
170,0.005792
170,0.002542
170,0.0025
170,0.0065
170,0.019958
170,0.013375
170,0.009334
170,0.002291
170,0.00275
170,0.001792
170,0.002084
170,0.00275
170,0.002583
170,0.002084
170,0.001917
170,0.002917
170,0.002083
170,0.002
170,0.001916
170,0.002333
170,0.001917
170,0.002083
170,0.00225
170,0.002
170,0.001917
170,0.002042
170,0.002042
170,0.002333
170,0.002625
170,0.001959
170,0.002166
170,0.00275
170,0.001708
170,0.002833
170,0.002
190,0.004416
190,0.002125
190,0.002125
190,0.002458
190,0.002208
190,0.002083
190,0.002167
190,0.002292
190,0.002084
190,0.002083
190,0.002167
190,0.002042
190,0.006375
190,0.002
190,0.002167
190,0.002125
190,0.002125
190,0.002292
190,0.002625
190,0.002959
190,0.002542
190,0.004625
190,0.002667
190,0.002041
190,0.00225
190,0.002333
190,0.002208
190,0.002291
190,0.002375
190,0.002167
190,0.005666
190,0.002875
190,0.003209
190,0.003209
190,0.002083
190,0.002083
190,0.002
190,0.002291
190,0.002083
190,0.002083
190,0.003
210,0.003916
210,0.002959
210,0.002833
210,0.003542
210,0.002625
210,0.002667
210,0.002791
210,0.003791
210,0.002666
210,0.002583
210,0.002625
210,0.002625
210,0.002583
210,0.002708
210,0.002625
210,0.007959
210,0.002625
210,0.0025
210,0.002458
210,0.003042
210,0.003541
210,0.0025
210,0.003375
210,0.003042
210,0.002584
210,0.003333
210,0.010042
210,0.003
210,0.002792
210,0.002292
210,0.002625
210,0.002459
210,0.003459
210,0.003458
210,0.0025
210,0.002541
210,0.002542
210,0.002625
210,0.002625
210,0.002834
210,0.002542
230,0.006584
230,0.003
230,0.002833
230,0.003584
230,0.002791
230,0.0035
230,0.002667
230,0.006708
230,0.002666
230,0.00275
230,0.00275
230,0.00275
230,0.002833
230,0.012083
230,0.013667
230,0.005375
230,0.008791
230,0.00275
230,0.0045
230,0.003334
230,0.002542
230,0.003625
230,0.002792
230,0.002458
230,0.002584
230,0.002541
230,0.002583
230,0.003542
230,0.002417
230,0.0025
230,0.002417
230,0.003375
230,0.0025
230,0.002667
230,0.002583
230,0.002625
230,0.00275
230,0.002583
230,0.002583
230,0.002458
230,0.002417
250,0.004208
250,0.00275
250,0.0025
250,0.0025
250,0.024
250,0.003917
250,0.002667
250,0.002583
250,0.002542
250,0.002625
250,0.002917
250,0.002667
250,0.003417
250,0.003333
250,0.002875
250,0.002792
250,0.00375
250,0.011083
250,0.002708
250,0.002875
250,0.00275
250,0.002791
250,0.00275
250,0.009042
250,0.002709
250,0.002584
250,0.002667
250,0.008292
250,0.007042
250,0.002291
250,0.001958
250,0.002
250,0.002083
250,0.002083
250,0.003
250,0.002125
250,0.002166
250,0.003167
250,0.00225
250,0.002083
250,0.007125
270,0.004125
270,0.002333
270,0.00225
270,0.002333
270,0.002333
270,0.002333
270,0.002
270,0.002209
270,0.002083
270,0.002208
270,0.002166
270,0.002083
270,0.003916
270,0.00225
270,0.002333
270,0.00225
270,0.002208
270,0.00225
270,0.002542
270,0.004917
270,0.002084
270,0.002417
270,0.002291
270,0.002416
270,0.001916
270,0.002416
270,0.002833
270,0.002375
270,0.002917
270,0.002625
270,0.002125
270,0.002167
270,0.002792
270,0.002458
270,0.002125
270,0.002292
270,0.002208
270,0.005208
270,0.002708
270,0.002375
270,0.001916
290,0.005125
290,0.0025
290,0.0025
290,0.002375
290,0.002167
290,0.002292
290,0.003083
290,0.0025
290,0.002416
290,0.003
290,0.002875
290,0.002375
290,0.002375
290,0.002458
290,0.002208
290,0.008084
290,0.002917
290,0.00225
290,0.002084
290,0.021042
290,0.009583
290,0.00225
290,0.002375
290,0.002375
290,0.002333
290,0.002333
290,0.002375
290,0.002417
290,0.002542
290,0.002417
290,0.002333
290,0.002291
290,0.002208
290,0.002167
290,0.002333
290,0.001959
290,0.002042
290,0.002416
290,0.0025
290,0.002459
290,0.002125
310,0.004
310,0.002292
310,0.002333
310,0.002375
310,0.002459
310,0.002292
310,0.002084
310,0.002333
310,0.002375
310,0.0025
310,0.003292
310,0.003458
310,0.002417
310,0.002791
310,0.003042
310,0.003458
310,0.002542
310,0.002167
310,0.002208
310,0.002333
310,0.002583
310,0.002291
310,0.002291
310,0.002208
310,0.002083
310,0.002292
310,0.003417
310,0.002167
310,0.002292
310,0.00225
310,0.0025
310,0.003041
310,0.002417
310,0.004083
310,0.002459
310,0.002167
310,0.00225
310,0.00225
310,0.002125
310,0.002417
310,0.002667
330,0.004125
330,0.003375
330,0.002708
330,0.0025
330,0.002625
330,0.002458
330,0.002583
330,0.00225
330,0.002792
330,0.003041
330,0.002417
330,0.002541
330,0.002458
330,0.002583
330,0.002708
330,0.002292
330,0.002416
330,0.002667
330,0.002167
330,0.002375
330,0.0025
330,0.002167
330,0.002667
330,0.002542
330,0.002208
330,0.002958
330,0.002584
330,0.002375
330,0.0025
330,0.0025
330,0.00225
330,0.002375
330,0.002459
330,0.003666
330,0.002667
330,0.010208
330,0.002583
330,0.003209
330,0.002625
330,0.002417
330,0.002417
350,0.006292
350,0.003208
350,0.005583
350,0.002334
350,0.002792
350,0.002416
350,0.002625
350,0.002583
350,0.002709
350,0.002334
350,0.002291
350,0.002417
350,0.002292
350,0.002625
350,0.002708
350,0.002917
350,0.002792
350,0.002917
350,0.010791
350,0.002542
350,0.002416
350,0.002792
350,0.002625
350,0.002667
350,0.002584
350,0.002709
350,0.002666
350,0.00275
350,0.0025
350,0.002583
350,0.003125
350,0.008375
350,0.003
350,0.002625
350,0.002542
350,0.002542
350,0.002583
350,0.002625
350,0.002458
350,0.002625
350,0.00275
370,0.005333
370,0.002416
370,0.00375
370,0.0025
370,0.002584
370,0.002583
370,0.002583
370,0.0025
370,0.002833
370,0.002459
370,0.002834
370,0.002458
370,0.002708
370,0.002583
370,0.002541
370,0.00275
370,0.002584
370,0.002667
370,0.003083
370,0.00775
370,0.00275
370,0.002833
370,0.002542
370,0.00275
370,0.0025
370,0.002833
370,0.002667
370,0.002666
370,0.002791
370,0.002708
370,0.002667
370,0.002667
370,0.005459
370,0.0025
370,0.002792
370,0.003292
370,0.002333
370,0.002583
370,0.002583
370,0.002542
370,0.003
390,0.0055
390,0.003375
390,0.002375
390,0.003417
390,0.003958
390,0.003084
390,0.003958
390,0.004
390,0.00425
390,0.003125
390,0.003167
390,0.003
390,0.003167
390,0.003291
390,0.003125
390,0.003125
390,0.003209
390,0.003792
390,0.002916
390,0.002958
390,0.003083
390,0.003208
390,0.006625
390,0.00475
390,0.003375
390,0.00325
390,0.003166
390,0.003125
390,0.002833
390,0.003208
390,0.003084
390,0.003167
390,0.002917
390,0.004167
390,0.003208
390,0.003417
390,0.002917
390,0.004416
390,0.002916
390,0.003125
390,0.003125
410,0.005209
410,0.0035
410,0.003416
410,0.0035
410,0.004958
410,0.003125
410,0.003208
410,0.00325
410,0.004291
410,0.003041
410,0.008041
410,0.003583
410,0.003166
410,0.006125
410,0.003667
410,0.003125
410,0.003167
410,0.004166
410,0.003084
410,0.003875
410,0.00325
410,0.003125
410,0.003208
410,0.003291
410,0.004042
410,0.0055
410,0.005667
410,0.003333
410,0.003416
410,0.003875
410,0.005042
410,0.003709
410,0.003167
410,0.003708
410,0.003333
410,0.00325
410,0.003041
410,0.003042
410,0.003792
410,0.005917
410,0.002958
430,0.004209
430,0.003625
430,0.003458
430,0.004
430,0.00375
430,0.003166
430,0.003125
430,0.0035
430,0.007541
430,0.006292
430,0.020459
430,0.003334
430,0.005625
430,0.003292
430,0.003083
430,0.003875
430,0.005625
430,0.004834
430,0.002958
430,0.003292
430,0.003792
430,0.003416
430,0.003125
430,0.003125
430,0.005917
430,0.003333
430,0.003125
430,0.003334
430,0.004
430,0.003125
430,0.003584
430,0.00325
430,0.003334
430,0.007042
430,0.003125
430,0.003167
430,0.004917
430,0.003125
430,0.0035
430,0.00275
430,0.003708
450,0.004459
450,0.003958
450,0.003167
450,0.003417
450,0.004
450,0.003375
450,0.003458
450,0.003167
450,0.003375
450,0.00325
450,0.003375
450,0.003333
450,0.009083
450,0.006875
450,0.004542
450,0.003417
450,0.003375
450,0.003292
450,0.004083
450,0.00325
450,0.004292
450,0.004
450,0.0035
450,0.004583
450,0.004416
450,0.00425
450,0.003458
450,0.003583
450,0.003917
450,0.003417
450,0.003667
450,0.007167
450,0.003292
450,0.007125
450,0.004083
450,0.003917
450,0.006416
450,0.003833
450,0.003709
450,0.004875
450,0.003709
470,0.006208
470,0.003875
470,0.005125
470,0.004917
