SampleSize,TimeMs
100,0.668666
100,0.079333
100,0.094625
100,0.070708
100,0.0895
100,0.060167
100,0.053375
100,0.057708
100,0.051333
100,0.040708
100,0.061667
100,0.043959
100,0.037959
100,0.022125
100,0.017916
100,0.021083
100,0.023708
100,0.016625
100,0.017959
100,0.017459
100,0.019917
100,0.017583
100,0.017875
100,0.015834
100,0.016625
100,0.017208
100,0.01825
100,0.016542
100,0.018542
100,0.015875
100,0.024083
100,0.020834
100,0.018625
100,0.015084
100,0.032042
100,0.017334
100,0.029041
100,0.014917
100,0.015291
100,0.014584
100,0.015375
100,0.015167
100,0.015416
100,0.019292
100,0.019166
100,0.018292
100,0.015583
100,0.013083
100,0.013958
100,0.01275
100,0.013458
100,0.014416
100,0.013083
100,0.012959
100,0.013542
100,0.012167
100,0.01225
100,0.012125
100,0.012458
100,0.0115
100,0.012292
100,0.012125
100,0.011583
100,0.011583
100,0.011958
100,0.011625
100,0.013083
100,0.011042
100,0.011667
100,0.011958
100,0.012334
100,0.01425
100,0.027167
100,0.019125
100,0.013958
100,0.012458
100,0.013209
100,0.017333
100,0.015833
100,0.012208
100,0.01175
100,0.012375
200,0.029875
200,0.0245
200,0.032791
200,0.02625
200,0.023416
200,0.025167
200,0.022583
200,0.022666
200,0.022709
200,0.022875
200,0.03675
200,0.02425
200,0.027458
200,0.022
200,0.022917
200,0.024916
200,0.02225
200,0.021125
200,0.021084
200,0.02225
200,0.023291
200,0.022417
200,0.023834
200,0.0255
200,0.026917
200,0.025375
200,0.025542
200,0.020292
200,0.025167
200,0.027667
200,0.024542
200,0.022625
200,0.025834
200,0.025458
200,0.029291
200,0.041583
200,0.026958
200,0.02175
200,0.021834
200,0.028667
200,0.038375
200,0.028875
200,0.06075
200,0.044083
200,0.027208
200,0.023291
200,0.04
200,0.028375
200,0.0255
200,0.02275
200,0.02475
200,0.021458
200,0.023042
200,0.023625
200,0.0235
200,0.024708
200,0.027792
200,0.025083
200,0.023334
200,0.021958
200,0.02625
200,0.024916
200,0.022666
200,0.022959
200,0.024375
200,0.02375
200,0.036666
200,0.022833
200,0.028584
200,0.02375
200,0.0265
200,0.024417
200,0.023042
200,0.022917
200,0.027541
200,0.025542
200,0.023833
200,0.036709
200,0.025084
200,0.024125
200,0.023042
200,0.022334
500,0.059333
500,0.056291
500,0.050125
500,0.05025
500,0.049375
500,0.0495
500,0.050041
500,0.047167
500,0.048916
500,0.047417
500,0.0465
500,0.044917
500,0.053334
500,0.047417
500,0.045958
500,0.044917
500,0.043791
500,0.036333
500,0.0385
500,0.03675
500,0.039708
500,0.035542
500,0.034417
500,0.03575
500,0.038292
500,0.038125
500,0.041375
500,0.038042
500,0.037375
500,0.034542
500,0.035875
500,0.035166
500,0.035208
500,0.033208
500,0.032417
500,0.03225
500,0.033084
500,0.031125
500,0.033458
500,0.030542
500,0.032875
500,0.029375
500,0.037
500,0.03175
500,0.033042
500,0.035958
500,0.036625
500,0.034708
500,0.0365
500,0.037
500,0.03775
500,0.03725
500,0.035708
500,0.035334
500,0.040875
500,0.038333
500,0.0455
500,0.039125
500,0.036666
500,0.036042
500,0.037458
500,0.03975
500,0.03775
500,0.036166
500,0.0355
500,0.034708
500,0.033917
500,0.035083
500,0.036291
500,0.0355
500,0.030542
500,0.030542
500,0.033375
500,0.033
500,0.038958
500,0.040625
500,0.035667
500,0.03425
500,0.032791
500,0.032792
500,0.031542
500,0.032333
1000,0.068125
1000,0.063834
1000,0.066792
1000,0.068292
1000,0.0725
1000,0.065
1000,0.077375
1000,0.068625
1000,0.093292
1000,0.090375
1000,0.074833
1000,0.066
1000,0.066042
1000,0.069
1000,0.070459
1000,0.066375
1000,0.062166
1000,0.057416
1000,0.05825
1000,0.057583
1000,0.055417
1000,0.054
1000,0.06125
