SampleSize,TimeMs
50,1.1061
50,0.014
50,0.0131
50,0.0126
50,0.0914
50,0.0138
50,0.0134
50,0.0145
50,0.0102
50,0.0128
50,0.0126
50,0.015
50,0.0162
50,0.0084
50,0.1203
50,0.0233
50,0.0116
50,0.0133
50,0.0388
50,0.0309
50,0.0113
50,0.0074
50,0.0083
50,0.0068
50,0.0125
50,0.0094
50,0.0132
50,0.0208
50,0.0088
50,0.0088
50,0.0087
50,0.1139
50,0.0107
50,0.0063
50,0.0116
50,0.0075
50,0.122
50,0.0101
50,0.0064
50,0.0109
50,0.0179
70,0.0204
70,0.186
70,0.0137
70,0.0136
70,0.013
70,0.0075
70,0.0069
70,0.0116
70,0.0076
70,0.009
70,0.0187
70,0.01
70,0.0092
70,0.0078
70,0.0439
70,0.0147
70,0.0121
70,0.0265
70,0.0149
70,0.0239
70,0.0109
70,0.1812
70,0.1994
70,0.0647
70,0.0105
70,0.0125
70,0.006
70,0.005
70,0.0057
70,0.0046
70,0.0067
70,0.0152
70,0.0109
70,0.0063
70,0.0061
70,0.0057
70,0.0051
70,0.0046
70,0.0063
70,0.0057
70,0.0073
90,0.0286
90,0.0245
90,0.0275
90,0.6462
90,0.0236
90,0.0205
90,0.0178
90,0.0114
90,0.0114
90,0.0216
90,0.0205
90,0.0228
90,0.0141
90,0.0058
90,0.006
90,0.0044
90,0.0167
90,0.0207
90,0.0059
90,0.0105
90,0.0077
90,0.007
90,0.0055
90,0.0066
90,0.0054
90,0.0105
90,0.0171
90,0.0062
90,0.0052
90,0.0162
90,0.1086
90,0.0275
90,0.0043
90,0.0033
90,0.0032
90,0.0135
90,0.0076
90,0.0055
90,0.006
90,0.0061
90,0.0071
110,0.0213
110,0.0124
110,0.0049
110,0.0261
110,0.208
110,0.126
110,0.0067
110,0.0057
110,0.0138
110,0.0095
110,0.0042
110,0.0151
110,0.0077
110,0.0033
110,0.0024
110,0.0025
110,0.0034
110,0.0025
110,0.0029
110,0.0037
110,0.0173
110,0.0088
110,0.0078
110,0.003
110,0.0033
110,0.0025
110,0.0332
110,0.0117
110,0.0064
110,0.0036
110,0.0179
110,0.0161
110,0.0054
110,0.0042
110,0.0043
110,0.0034
110,0.0038
110,0.0074
110,0.0151
110,0.0038
110,0.0032
130,0.012
130,0.0114
130,0.0048
130,0.0032
130,0.0042
130,0.0033
130,0.0031
130,0.016
130,0.0125
130,0.0103
130,0.0064
130,0.0043
130,0.004
130,0.0036
130,0.0054
130,0.0065
130,0.0044
130,0.0057
130,0.013
130,0.0082
130,0.0089
130,0.0044
130,0.0083
130,0.0029
130,0.0034
130,0.0025
130,0.0104
130,0.6081
130,0.0332
130,0.0036
130,0.0023
130,0.0029
130,0.0028
130,0.0037
130,0.003
130,0.0035
130,0.0024
130,0.0032
130,0.003
130,0.0072
130,0.0031
150,0.0095
150,0.0084
150,0.0033
150,0.0031
150,0.0029
150,0.0029
150,0.0031
150,0.0025
150,0.0049
150,0.0028
150,0.0156
150,0.0039
150,0.0032
150,0.0028
150,0.0029
150,0.003
150,0.003
150,0.003
150,0.0079
150,0.008
150,0.0089
150,0.0044
150,0.0029
150,0.0031
150,0.0031
150,0.0028
150,0.0033
150,0.0041
150,0.003
150,0.0032
150,0.0076
150,0.0029
150,0.0029
150,0.0032
150,0.0198
150,0.0076
150,0.0155
150,0.0185
150,0.0064
150,0.005
150,0.0079
170,0.0099
170,0.0051
170,0.0032
170,0.0032
170,0.0029
170,0.0028
170,0.0169
170,0.0075
170,0.0117
170,0.3762
170,0.0421
170,0.0033
170,0.0025
170,0.0028
170,0.0027
170,0.0023
170,0.0027
170,0.0025
170,0.0036
170,0.0024
170,0.0083
170,0.0024
170,0.0038
170,0.0073
170,0.0069
170,0.0028
170,0.0026
170,0.0026
170,0.0025
170,0.0039
170,0.0023
170,0.0026
170,0.0024
170,0.0063
170,0.0032
170,0.0027
170,0.013
170,0.0066
170,0.0162
170,0.0079
170,0.0066
190,0.006
190,0.003
190,0.0025
190,0.004
190,0.0028
190,0.0026
190,0.0048
190,0.0034
190,0.0041
190,0.0026
190,0.003
190,0.004
190,0.2806
190,0.0818
190,0.0044
190,0.0029
190,0.0032
190,0.0026
190,0.0034
190,0.0023
190,0.0024
190,0.0028
190,0.0053
190,0.0027
190,0.0033
