SampleSize,TimeMs
50,1.5574
50,0.2392
50,0.0317
50,0.0286
50,0.1421
50,0.0873
50,0.3211
50,0.026
50,0.0352
50,0.2297
50,0.0289
50,0.0218
50,0.0282
50,0.0235
50,0.0209
50,0.0631
50,0.0214
50,0.0512
50,0.0215
50,0.1475
50,0.0194
50,0.0276
50,0.0163
50,0.0304
50,0.0611
50,0.1285
50,0.0361
50,0.0222
50,0.0496
50,0.0215
50,0.1739
50,0.0653
50,0.0301
50,0.0271
50,0.0184
50,0.1972
50,0.0456
50,0.0191
50,0.0154
50,0.0183
50,0.0165
70,0.0347
70,0.0473
70,0.2022
70,0.0396
70,0.021
70,0.0284
70,0.0171
70,0.0181
70,0.0194
70,0.0252
70,0.0195
70,0.019
70,0.0219
70,0.0193
70,0.0212
70,0.016
70,0.0146
70,0.0141
70,0.0169
70,0.0154
70,0.016
70,0.0141
70,0.2335
70,0.0162
70,0.0353
70,0.016
70,0.0144
70,0.0189
70,0.0158
70,0.0196
70,0.0194
70,0.0149
70,0.018
70,0.0249
70,0.0346
70,0.018
70,0.0329
70,0.0189
70,0.0162
70,0.0238
70,0.0153
90,0.028
90,0.0273
90,0.0255
90,0.0275
90,0.0658
90,0.151
90,0.1211
90,0.0317
90,0.0366
90,0.0312
90,0.036
90,0.042
90,0.036
90,0.0387
90,0.0378
90,0.0268
90,0.0242
90,0.0314
90,0.0533
90,0.0259
90,0.02
90,0.0784
90,0.039
90,0.009
90,0.0112
90,0.025
90,0.0095
90,0.0109
90,0.0144
90,0.0123
90,0.0115
90,0.0128
90,0.0136
90,0.0063
90,0.01
90,0.0112
90,0.0096
90,0.01
90,0.0101
90,0.006
90,0.0114
110,0.0315
110,0.0143
110,0.0242
110,0.0299
110,0.0231
110,0.0315
110,0.0234
110,0.0269
110,0.0192
110,0.022
110,0.0124
110,0.0207
110,0.0105
110,0.0264
110,0.0122
110,0.0192
110,0.0204
110,0.014
110,0.019
110,0.0155
110,0.0212
110,0.0342
110,0.0131
110,0.0076
110,0.0137
110,0.0094
110,0.0075
110,0.0068
110,0.0066
110,0.0072
110,0.0067
110,0.0079
110,0.0093
110,0.0075
110,0.0279
110,0.0102
110,0.0078
110,0.0098
110,0.007
110,0.0057
110,0.0063
130,0.0148
130,0.0087
130,0.0084
130,0.0896
130,0.0534
130,0.0138
130,0.0077
130,0.0095
130,0.0078
130,0.0205
130,0.0087
130,0.0066
130,0.0278
130,0.0228
130,0.0131
130,0.0083
130,0.0073
130,0.0086
130,0.0111
130,0.0087
130,0.0078
130,0.0082
130,0.0126
130,0.0096
130,0.0071
130,0.0071
130,0.0066
130,0.0087
130,0.0064
130,0.0141
130,0.0076
130,0.0072
130,0.0117
130,0.0086
130,0.0082
130,0.0131
130,0.0164
130,0.008
130,0.0074
130,0.0079
130,0.0079
150,0.0226
150,0.0114
150,0.0104
150,0.01
150,0.0192
150,0.0114
150,0.0136
150,0.0109
150,0.0096
150,0.0149
150,0.0107
150,0.0092
150,0.0087
150,0.0102
150,0.0101
150,0.0131
150,0.0123
150,0.0098
150,0.0207
150,0.0104
150,0.0089
150,0.0088
150,0.0092
150,0.0096
150,0.0083
150,0.0082
150,0.0532
150,0.0121
150,0.0079
150,0.0077
