SampleSize,TimeMs
50,62.177
50,4.7131
50,2.9494
50,2.8271
50,7.6322
50,5.0341
50,0.9936
50,3.5032
50,1.7046
50,5.5018
50,5.5812
50,2.3287
50,1.8387
50,4.1235
50,4.95
50,5.1342
50,2.7301
50,2.9947
50,2.6291
50,2.1767
50,4.1591
50,9.4112
50,1.5245
50,1.8703
50,1.1337
50,2.4106
50,2.0803
50,1.2001
50,1.5789
50,1.142
50,2.3092
50,1.2967
50,1.3049
50,0.9801
50,1.3389
50,1.2686
50,2.8846
50,1.2695
50,0.993
50,0.8727
50,1.49
50,0.8368
50,1.834
50,5.4114
50,0.7475
50,0.6521
50,0.7935
50,1.3174
50,0.9106
50,1.8792
50,1.8185
50,3.5049
50,1.2949
50,2.0018
50,2.0895
50,1.028
50,1.1292
50,1.3691
50,1.1439
50,1.3242
50,1.7496
50,1.2583
50,1.8257
50,1.3022
50,1.3798
50,5.2415
50,4.1171
50,2.6681
50,2.3136
50,5.4006
50,1.2192
50,1.1951
50,0.9486
50,0.8541
50,0.8862
50,0.8407
50,0.8134
50,0.8615
50,0.7828
50,1.1822
50,0.7336
50,0.7627
70,6.656
70,8.3856
70,14.5924
70,19.9419
70,139.3789
70,7.7351
70,27.6584
70,1.0715
70,0.8587
70,0.6053
70,0.6398
70,0.9567
70,0.5967
70,0.5895
70,0.6413
70,0.5989
70,0.7347
70,0.5704
70,0.6011
70,0.5699
70,0.5805
70,0.5932
70,0.6886
70,0.6687
70,0.5828
70,0.6013
70,0.6486
70,0.6037
70,0.7094
70,0.6564
70,0.6727
70,0.7368
70,0.7122
70,0.7023
70,0.7335
70,0.7658
70,0.7926
70,0.7128
70,0.7154
70,0.68
70,0.8084
70,0.6936
70,0.7509
70,0.7662
70,0.694
70,0.6937
70,0.6866
70,0.6773
70,0.7918
70,0.653
70,0.695
70,0.7345
70,0.7467
70,0.725
70,0.9873
70,0.7424
70,0.7924
70,0.698
70,0.7596
70,0.6681
70,0.8426
70,0.6558
70,0.694
70,0.7392
70,0.885
70,0.7327
70,0.9409
70,1.2211
70,0.9548
70,1.4148
70,0.7303
70,0.7131
70,0.7192
70,1.2001
70,0.8135
70,0.6986
70,0.7856
70,0.7556
70,1.2149
70,0.7564
70,0.756
70,0.7411
90,1.8578
90,1.6167
90,1.5054
90,1.5324
90,1.0926
90,1.0559
90,1.8628
90,1.0967
90,1.6289
90,1.7857
90,1.739
90,1.9442
90,2.6872
90,3.194
90,1.7909
90,1.4206
90,4.5644
90,1.4564
90,1.6317
90,1.2529
90,0.9246
90,1.4182
90,1.5732
90,1.9771
90,1.1928
90,1.7993
90,1.6575
90,1.4469
90,1.4849
90,1.4326
90,3.3298
90,0.8867
90,1.0687
90,0.9575
90,1.3467
90,1.6013
90,1.347
90,1.2444
90,1.2991
90,1.2702
90,0.9934
90,0.8406
90,0.8203
90,0.8473
90,0.8386
90,0.8864
90,0.9218
90,0.9
90,0.8957
90,0.9298
90,1.0479
90,0.8113
90,0.912
90,0.7839
90,0.7797
90,0.8357
90,1.1631
90,0.8696
90,1.0327
90,1.0997
90,0.8308
90,1.0032
90,1.0917
90,0.8548
90,2.4683
90,0.7523
90,0.6615
90,0.6373
90,0.6443
90,0.7114
90,0.6291
90,0.7856
90,0.6373
90,0.8411
90,0.7738
90,0.6926
90,0.7973
90,0.6366
90,0.6253
90,0.645
90,0.9442
90,0.8213
110,1.3237
110,1.3952
110,1.4341
110,0.7752
110,0.8277
110,0.9567
110,1.3918
110,1.4173
110,1.9273
110,1.0725
110,4.2479
110,1.569
110,1.7371
110,1.3376
110,0.9506
110,1.412
110,1.1718
110,1.3858
110,0.9309
110,1.3323
110,0.819
110,0.769
110,1.4134
110,1.2264
110,0.8183
110,0.804
110,1.5052
110,1.1234
110,0.8259
110,0.7962
110,0.9088
110,1.2459
110,1.2038
110,0.828
110,0.8306
110,0.9445
110,0.9105
110,1.1956
110,0.9516
110,0.7838
110,1.3657
110,1.1141
110,1.6223
110,1.6055
110,0.9342
110,0.5879
110,0.4719
110,0.4231
110,0.3283
110,0.6533
110,0.3436
110,0.3132
110,0.3225
110,0.326
110,0.3596
110,0.3222
110,0.3421
110,0.3259
110,0.3425
110,0.3252
110,0.332
110,0.3461
110,0.3275
110,0.3424
110,0.3288
110,0.4002
110,0.3373
110,0.3338
110,0.6321
110,0.5686
110,0.3439
110,0.3244
110,0.3193
110,0.3319
110,0.3335
110,0.3292
110,0.3364
110,0.3142
110,0.3241
110,0.3133
110,0.3292
110,0.3217
130,0.4511
130,0.3731
130,0.4538
130,0.3795
130,0.3786
130,0.3824
130,0.5784
130,0.3782
130,0.4609
130,0.383
130,0.3757
130,0.3926
130,0.3839
