SampleSize,TimeMs
50,0.302667
50,0.043542
50,0.05175
50,0.043584
50,0.034792
50,0.019375
50,0.0315
50,0.023875
50,0.01925
50,0.027334
50,0.0235
50,0.01525
50,0.020792
50,0.022791
50,0.019542
50,0.0115
50,0.011917
50,0.008958
50,0.012291
50,0.009666
50,0.010708
50,0.009792
50,0.008667
50,0.010166
50,0.010667
50,0.012709
50,0.012292
50,0.00775
50,0.014417
50,0.007958
50,0.01
50,0.01275
50,0.011417
50,0.007041
50,0.006167
50,0.008792
50,0.006125
50,0.006334
50,0.007458
50,0.0065
50,0.008292
50,0.021208
50,0.008792
50,0.007333
50,0.00725
50,0.007709
50,0.007084
50,0.0065
50,0.007042
50,0.007209
50,0.007625
50,0.006666
50,0.007292
50,0.006708
50,0.007166
50,0.007334
50,0.007042
50,0.007042
50,0.007708
50,0.006834
50,0.007375
50,0.00625
50,0.006375
50,0.00625
50,0.008375
50,0.007584
50,0.006459
50,0.005834
50,0.006916
50,0.006166
50,0.006459
50,0.006292
50,0.006542
50,0.006709
50,0.006375
50,0.006667
50,0.00725
50,0.006541
50,0.006625
50,0.006833
50,0.007125
50,0.006625
50,0.006667
50,0.005875
50,0.006875
50,0.006875
50,0.007667
50,0.006583
50,0.006917
50,0.007
50,0.0075
50,0.006917
50,0.007709
50,0.006458
50,0.008209
50,0.010375
50,0.009917
50,0.008459
50,0.007125
50,0.00625
50,0.006375
50,0.007166
50,0.00725
50,0.007542
50,0.006125
50,0.006917
50,0.007375
50,0.011292
50,0.007333
50,0.007708
50,0.00675
50,0.006625
50,0.006542
50,0.005917
50,0.004917
50,0.008208
50,0.00525
50,0.0055
50,0.0095
50,0.008791
50,0.004958
50,0.003917
50,0.008125
50,0.0035
50,0.004417
50,0.003708
50,0.004083
50,0.004791
50,0.004083
50,0.00375
50,0.004167
50,0.003417
50,0.003417
50,0.004375
50,0.003125
50,0.004125
50,0.004833
50,0.00425
50,0.003958
50,0.003667
50,0.00375
50,0.003833
50,0.004167
50,0.004084
50,0.005333
50,0.00425
50,0.004542
50,0.004
50,0.005208
50,0.003792
50,0.003459
50,0.003917
50,0.004167
50,0.003625
50,0.004083
50,0.003792
50,0.003708
50,0.004917
50,0.003833
50,0.003542
50,0.004708
50,0.003625
50,0.003875
50,0.00575
50,0.004417
50,0.004625
50,0.003958
50,0.004083
50,0.00475
50,0.004209
50,0.004708
50,0.00475
50,0.004
50,0.004625
50,0.006
50,0.005417
50,0.005708
50,0.012709
50,0.004583
50,0.005125
50,0.005541
50,0.00875
50,0.005083
50,0.005041
50,0.005
50,0.004333
50,0.00475
50,0.004667
50,0.005708
50,0.005458
50,0.005291
50,0.00575
50,0.00575
50,0.004459
50,0.005
50,0.005292
50,0.005042
50,0.0055
50,0.005583
50,0.004916
70,0.011042
70,0.008375
70,0.008791
70,0.007917
70,0.010083
70,0.007583
70,0.007667
70,0.007875
70,0.007791
70,0.007209
70,0.004208
70,0.004542
70,0.004459
70,0.004541
70,0.004667
70,0.004583
70,0.006042
70,0.004667
70,0.00525
70,0.004334
70,0.005166
70,0.004875
70,0.004542
70,0.004875
70,0.005542
70,0.004833
70,0.004875
70,0.005125
70,0.006416
70,0.007167
70,0.006958
70,0.006542
70,0.007042
70,0.010875
70,0.007291
70,0.008
70,0.007459
70,0.007208
70,0.008333
70,0.008875
70,0.020875
70,0.010833
70,0.009792
70,0.008375
70,0.011958
70,0.012125
70,0.007791
70,0.007666
70,0.031167
70,0.026625
70,0.025458
70,0.018541
70,0.016041
70,0.014375
70,0.013292
70,0.010875
70,0.0105
70,0.01075
70,0.008625
70,0.01675
70,0.010416
70,0.008375
70,0.008125
70,0.008875
70,0.008708
70,0.007542
70,0.008083
70,0.007917
70,0.007916
70,0.006334
70,0.00775
70,0.007208
70,0.008125
70,0.010083
70,0.008125
70,0.009125
70,0.008625
70,0.008208
70,0.008708
70,0.008834
70,0.00675
70,0.007
70,0.007541
70,0.006792
70,0.007375
70,0.006625
70,0.007959
70,0.008458
