SampleSize,TimeMs
50,0.232166
50,0.023291
50,0.020583
50,0.018042
50,0.019667
50,0.023875
50,0.017833
50,0.022667
50,0.019209
50,0.015834
50,0.017792
50,0.00925
50,0.007375
50,0.0075
50,0.00825
50,0.007209
50,0.007625
50,0.006875
50,0.006834
50,0.007125
50,0.007416
50,0.007125
50,0.006958
50,0.007083
50,0.006917
50,0.007792
50,0.006833
50,0.007208
50,0.008167
50,0.007125
50,0.006917
50,0.006875
50,0.010709
50,0.00675
50,0.006792
50,0.006833
50,0.006791
50,0.006917
50,0.0085
50,0.006875
50,0.007
70,0.011833
70,0.009125
70,0.009292
70,0.009042
70,0.009292
70,0.009667
70,0.009083
70,0.008959
70,0.008959
70,0.009333
70,0.008958
70,0.009125
70,0.009583
70,0.009166
70,0.013625
70,0.009
70,0.008833
70,0.008583
70,0.009583
70,0.011084
70,0.0105
70,0.011417
70,0.023584
70,0.010083
70,0.008417
70,0.008416
70,0.009291
70,0.009
70,0.009083
70,0.009417
70,0.009125
70,0.009167
70,0.009125
70,0.011916
70,0.010041
70,0.009209
70,0.009292
70,0.00925
70,0.009833
70,0.011542
70,0.0095
90,0.014375
90,0.014041
90,0.01175
90,0.01175
90,0.01175
90,0.011792
90,0.012959
90,0.011625
90,0.011375
90,0.011417
90,0.011583
90,0.01125
90,0.011542
90,0.01175
90,0.011708
90,0.01525
90,0.010708
90,0.010916
90,0.03075
90,0.010959
90,0.012416
90,0.0165
90,0.007916
90,0.032375
90,0.009708
90,0.001625
90,0.001625
90,0.001625
90,0.001666
90,0.001625
90,0.001584
90,0.001625
90,0.0075
90,0.001583
90,0.001541
90,0.001584
90,0.0015
90,0.001458
90,0.001417
90,0.001458
90,0.001625
110,0.003542
110,0.00175
110,0.001708
110,0.001875
110,0.001958
110,0.00175
110,0.001875
110,0.001959
110,0.001833
110,0.002
110,0.001833
110,0.001833
110,0.001792
110,0.002416
110,0.001917
110,0.001958
110,0.002167
110,0.001875
110,0.001875
110,0.001958
110,0.002042
110,0.002042
110,0.001833
110,0.0025
110,0.001791
110,0.001917
110,0.001833
110,0.006667
110,0.00175
110,0.001917
110,0.002583
110,0.001834
110,0.001833
110,0.001959
110,0.002666
110,0.002334
110,0.002083
110,0.001834
110,0.001833
110,0.001875
110,0.002375
130,0.004
130,0.002167
130,0.00275
130,0.00575
130,0.005709
130,0.0025
130,0.001875
130,0.001875
130,0.002042
130,0.001916
130,0.001833
130,0.001833
130,0.001917
130,0.001834
130,0.00325
130,0.002459
130,0.001959
130,0.002042
130,0.001958
130,0.001917
130,0.00325
130,0.001833
130,0.001875
130,0.002333
130,0.001958
130,0.002
130,0.001917
130,0.002041
130,0.001916
130,0.001875
130,0.001917
130,0.001875
130,0.001875
130,0.001958
130,0.001917
130,0.001917
130,0.002708
130,0.001917
130,0.002
130,0.001875
130,0.002375
150,0.003042
150,0.002125
150,0.002166
150,0.002167
150,0.002125
150,0.002208
150,0.002958
150,0.002167
150,0.00225
150,0.002208
150,0.002167
150,0.002334
150,0.004084
150,0.002333
150,0.002792
150,0.00225
150,0.002375
150,0.00225
150,0.002084
150,0.002833
150,0.004292
150,0.002083
150,0.002
150,0.002708
150,0.002042
150,0.002042
150,0.002166
150,0.002083
150,0.002084
150,0.001959
150,0.002125
150,0.00275
150,0.006834
150,0.002375
150,0.002083
150,0.002084
150,0.002208
150,0.002708
150,0.002167
150,0.002834
150,0.002292
170,0.003333
170,0.002291
170,0.002417
170,0.002666
170,0.0025
170,0.004041
170,0.002584
170,0.003167
170,0.002459
170,0.002375
170,0.0025
170,0.002375
170,0.0025
170,0.002459
170,0.002459
170,0.0025
170,0.002458
170,0.002542
170,0.0025
170,0.004625
170,0.002459
170,0.00225
170,0.002959
170,0.002291
170,0.004416
170,0.002209
170,0.002625
170,0.002291
170,0.002417
170,0.002333
170,0.003042
170,0.00225
170,0.002375
170,0.00225
170,0.002417
170,0.003167
170,0.003041
170,0.002583
170,0.002416
170,0.002375
170,0.003166
190,0.003708
190,0.002542
190,0.002792
190,0.003042
190,0.00275
190,0.002625
190,0.00325
190,0.002625
