SampleSize,TimeMs
41000,12.5038
41000,2.9053
41000,2.6672
41000,0.5661
41000,0.6207
41000,0.9685
41000,1.3811
41000,0.4921
41000,0.552
41000,0.5711
41000,0.5213
41000,0.5312
41000,1.4896
41000,0.6105
41000,1.4315
41000,0.7062
41000,1.7764
41000,0.9546
41000,0.8967
41000,0.9667
41000,2.5559
41000,0.5836
41000,0.6246
41000,0.8678
41000,0.8653
41000,0.6017
41000,0.6064
41000,0.5593
41000,0.8421
41000,1.3571
41000,0.6093
41000,0.842
41000,0.6817
41000,1.1023
41000,0.5483
41000,0.5712
41000,0.5713
41000,0.5445
41000,0.4873
41000,0.6439
41000,0.6071
41000,0.8046
41000,0.5145
41000,0.6308
41000,0.5652
41000,0.5563
41000,0.6244
41000,0.5579
41000,0.5842
41000,0.5489
41000,0.523
41000,0.4588
41000,0.5178
41000,0.5323
41000,0.5245
41000,0.6217
41000,0.6243
41000,0.6301
41000,1.2015
41000,0.6054
41000,1.5185
41000,1.1862
41000,0.5458
41000,0.5737
41000,1.5057
41000,0.4769
41000,0.6362
41000,0.5283
41000,0.4568
41000,0.5141
41000,0.5429
41000,0.6769
41000,0.4923
41000,1.2451
41000,0.5016
41000,0.4717
41000,0.5117
41000,0.5225
41000,1.2411
41000,1.0985
41000,0.5993
41000,0.5127
41000,0.5846
41000,0.5558
41000,0.5207
41000,0.4706
41000,0.6218
41000,1.2545
41000,0.5691
41000,0.4796
41000,0.5467
41000,0.8028
41000,0.7028
41000,0.5621
41000,0.5846
41000,1.7475
41000,0.7964
41000,0.7525
41000,0.7087
41000,0.7819
41000,0.6445
41000,0.5845
41000,0.533
41000,0.5504
41000,0.5602
41000,0.4865
41000,0.6296
41000,1.2654
41000,1.218
41000,0.5419
41000,0.7827
41000,0.6887
41000,0.4758
41000,0.5605
41000,0.6084
41000,0.6036
41000,1.1887
41000,0.5877
41000,0.549
41000,0.6531
41000,0.5901
41000,0.549
41000,0.4946
41000,0.4741
41000,0.5915
41000,0.5261
41000,0.5683
41000,0.5909
41000,1.0309
41000,1.1137
41000,0.5383
41000,0.53
41000,0.4893
41000,0.4849
41000,0.5556
41000,0.5295
41000,0.5496
41000,1.1498
41000,0.4399
41000,0.4942
41000,0.5105
41000,0.5476
41000,0.552
41000,0.5493
41000,0.5205
41000,0.4964
41000,0.5075
41000,0.5086
41000,0.5388
41000,1.1438
41000,0.4848
41000,0.5601
41000,0.5489
41000,0.5763
41000,0.538
41000,0.5756
41000,0.5862
41000,0.5585
41000,0.7299
41000,0.559
41000,0.6117
41000,0.6506
41000,0.7254
41000,0.5349
41000,0.6642
41000,0.9032
41000,0.6443
41000,0.6256
41000,0.9136
41000,0.8236
41000,0.5881
41000,0.8035
41000,0.779
41000,0.6517
41000,0.5756
41000,0.6195
41000,0.6651
41000,0.6437
41000,0.5681
41000,0.5584
41000,0.9469
41000,0.5068
41000,0.5345
41000,1.3838
41000,0.4577
41000,0.5296
41000,0.5204
41000,0.5603
41000,0.8164
41000,0.6305
41000,0.5063
41000,0.4675
41000,0.6403
41000,0.5504
41000,0.4711
41000,0.5208
41000,0.5282
41000,0.5033
41000,0.4782
41000,0.5127
41000,0.502
41000,0.5471
41000,1.152
41000,0.5307
41000,0.4666
41000,0.5608
41000,0.631
41000,0.4961
41000,0.5031
41000,0.5638
41000,0.556
41000,0.4824
41000,0.5669
41000,0.5635
41000,0.55
41000,0.6202
41000,0.5739
41000,0.5158
41000,0.5088
41000,1.2904
41000,0.8545
41000,0.5473
41000,0.5459
41000,1.9207
41000,0.5273
41000,0.7084
41000,0.5586
41000,0.5276
41000,0.5625
41000,0.6187
41000,1.2544
41000,0.6835
41000,0.5118
41000,0.9686
41000,0.5145
41000,0.4695
41000,0.5461
41000,1.3417
41000,0.4774
41000,0.7213
41000,2.447
41000,1.3092
41000,1.1153
41000,0.8454
41000,1.2392
41000,0.7093
41000,0.728
41000,0.7218
41000,0.6345
41000,0.6179
41000,0.711
41000,1.1286
41000,1.4424
41000,1.0116
41000,0.5237
41000,0.59
41000,0.548
41000,0.5
41000,0.6721
41000,0.6019
41000,0.5564
41000,0.5956
41000,0.6162
41000,0.9729
41000,0.6538
41000,0.7602
41000,0.7917
41000,0.6753
41000,1.0497
41000,1.0845
41000,0.6893
41000,0.6476
41000,0.9381
41000,0.6148
41000,0.7912
41000,0.7174
41000,0.7668
41000,1.437
41000,0.5463
41000,0.5453
41000,0.6698
41000,0.8566
41000,1.0088
41000,0.7687
41000,0.6522
41000,0.7013
41000,0.6968
41000,0.498
41000,1.1741
41000,0.5886
41000,0.5104
41000,0.4788
41000,0.5555
41000,0.7989
41000,0.4717
41000,0.5014
41000,0.5713
41000,0.57
41000,0.4521
41000,0.5498
41000,0.5059
41000,0.5038
41000,0.5263
41000,0.5376
41000,1.1702
41000,0.4881
41000,0.9634
41000,0.9487
41000,0.5144
41000,1.1554
41000,0.707
41000,0.7322
41000,1.0002
41000,1.2112
41000,2.3017
41000,0.837
41000,1.7757
41000,0.7953
41000,0.5228
41000,0.5383
41000,0.5792
41000,0.5528
41000,0.6773
41000,0.5907
41000,0.693
41000,0.519
41000,0.5509
41000,0.5221
41000,0.7049
41000,0.558
41000,0.5949
41000,0.6251
41000,0.5052
41000,0.6144
41000,0.5233
41000,0.4904
41000,0.868
41000,0.5322
41000,0.4958
41000,0.5041
41000,0.5389
41000,0.4831
41000,1.042
41000,0.6696
41000,0.6675
41000,0.4905
41000,0.5659
41000,0.8487
41000,0.5002
41000,0.5003
41000,0.5263
41000,0.5758
41000,0.4835
41000,0.5371
41000,0.5149
41000,0.4589
41000,0.4579
41000,0.5486
41000,0.4961
41000,1.0355
41000,0.5356
41000,0.4943
41000,0.4762
41000,0.5178
41000,0.5549
41000,0.4881
41000,0.5638
41000,0.6335
41000,0.5165
41000,0.5499
41000,0.6362
41000,0.6174
41000,0.4725
41000,1.1519
41000,0.5549
41000,0.499
41000,0.5743
41000,0.5447
41000,0.5305
41000,0.4898
41000,0.5131
41000,0.5907
41000,0.4803
41000,0.49
41000,0.5376
41000,0.6921
41000,0.4848
41000,0.516
41000,0.5482
41000,0.4879
41000,0.8021
41000,0.8328
41000,1.7459
41000,0.6534
41000,0.8364
41000,0.7372
41000,0.5224
41000,0.5428
41000,0.5619
41000,0.5531
41000,0.5113
41000,0.5379
41000,0.6383
41000,0.4997
41000,0.5951
41000,0.5729
41000,0.4468
41000,0.4841
41000,1.2321
41000,0.6707
41000,0.4686
41000,0.682
41000,0.5114
41000,1.0568
41000,0.5324
41000,0.5368
41000,0.4482
41000,0.4864
41000,0.53
41000,0.5207
41000,0.5005
41000,0.5278
41000,0.5319
41000,0.4554
41000,0.4915
41000,0.796
41000,0.7019
41000,0.8737
41000,0.5758
41000,0.5599
41000,0.532
41000,1.2319
41000,0.941
41000,1.0437
41000,0.482
41000,0.5863
41000,0.5233
41000,0.5926
41000,0.5578
41000,0.518
41000,0.4764
41000,0.4809
41000,0.5391
41000,0.4873
41000,0.5391
41000,0.5672
41000,0.5093
41000,0.5899
41000,0.9038
41000,0.5297
41000,0.5246
41000,0.5448
41000,0.5614
41000,0.4861
41000,0.5032
41000,0.5224
41000,0.5208
41000,0.4823
41000,0.4744
41000,0.6974
41000,0.5127
41000,1.2252
41000,0.9836
41000,0.7077
41000,0.5864
41000,0.8156
41000,0.6566
41000,0.5176
41000,0.5291
41000,0.7182
41000,0.5712
41000,0.5113
41000,0.5971
41000,0.6442
41000,0.6204
41000,0.495
41000,0.6487
41000,0.4875
41000,1.5005
41000,0.6341
41000,0.5128
41000,0.5737
41000,0.5033
41000,0.6238
41000,0.5165
41000,0.5136
41000,0.5428
41000,0.4994
41000,0.5622
41000,0.5184
41000,0.5176
41000,0.4985
41000,0.4879
41000,1.1659
41000,0.4687
41000,0.509
41000,0.5303
41000,0.5769
41000,0.5234
41000,1.2254
