SampleSize,TimeMs
50,75.2151
50,8.922
50,10.5974
50,4.7733
50,10.7704
50,7.0889
50,1.2664
50,1.4179
50,2.4128
50,3.4998
50,3.4016
50,3.0904
50,1.0004
50,2.3686
50,1.4674
50,3.332
50,2.9755
50,4.3747
50,3.1724
50,1.4792
50,2.4132
50,2.5812
50,6.7263
50,0.8293
50,1.9296
50,1.7118
50,3.0576
50,0.6831
50,1.5008
50,2.6045
50,0.7378
50,0.7061
50,1.2441
50,0.7514
50,0.7225
50,0.6931
50,1.2594
50,1.3265
50,0.7749
50,0.8378
50,1.4759
50,14.033
50,1.2576
50,1.1285
50,1.751
50,1.4158
50,2.3854
50,0.7705
50,0.9232
50,0.6875
50,3.6274
50,1.7612
50,1.5457
50,0.8239
50,0.7108
50,0.7791
50,1.6162
50,1.4154
50,1.1559
50,2.9204
50,0.941
50,0.8217
50,2.4183
50,0.8152
50,2.8386
50,1.622
50,0.9829
50,4.035
50,2.4914
50,1.5556
50,0.8883
50,0.5782
50,0.5836
50,4.3907
50,1.2541
50,1.1092
50,0.6979
50,0.4524
50,0.4869
50,0.5074
50,0.9028
50,0.9676
70,4.1454
70,3.0821
70,3.0285
70,3.8068
70,5.152
70,1.7529
70,1.3724
70,1.5044
70,1.2635
70,1.2824
70,1.4267
70,2.4622
70,4.4772
70,1.249
70,3.0072
70,4.0033
70,2.6073
70,1.2794
70,2.2801
70,1.8523
70,1.2757
70,1.1658
70,2.8614
70,1.3155
70,1.2473
70,1.1957
70,1.2288
70,1.1743
70,1.1843
70,1.1517
70,1.3196
70,2.2472
70,3.0773
70,2.9237
70,1.6341
70,1.555
70,1.1786
70,1.812
70,1.8456
70,1.4254
70,2.6112
70,1.7626
70,1.3742
70,1.4716
70,1.7824
70,1.3601
70,1.0932
70,1.1128
70,1.3585
70,1.2482
70,1.0579
70,1.1518
70,1.4663
70,1.0241
70,2.5237
70,2.1473
70,1.1579
70,0.9821
70,2.0052
70,0.9475
70,0.9947
70,1.2824
70,1.1692
70,1.1083
70,1.013
70,1.3294
70,1.2098
70,0.9929
70,1.3556
70,1.1121
70,1.3205
70,1.3696
70,2.0445
70,2.6767
70,0.9477
70,1.1135
70,0.9043
70,1.3616
70,1.0564
70,0.8612
70,1.0522
70,0.9206
90,2.5834
90,2.2131
90,1.7966
90,1.81
90,2.1366
90,1.8062
90,1.583
90,1.0536
90,1.2497
90,2.2139
90,1.4978
90,1.4588
90,1.8678
90,1.0847
90,1.6443
90,1.1961
90,1.2575
90,1.2715
90,1.6534
90,1.6305
90,1.5797
90,1.0222
90,1.4139
90,0.675
90,1.0829
90,0.6878
90,0.6832
90,0.8768
90,0.6826
90,0.7907
90,0.7034
90,0.6073
90,0.6852
90,0.6826
90,0.6627
90,1.1215
90,0.6931
90,0.6329
90,1.6437
90,0.6198
90,0.8396
90,0.6822
90,0.7051
90,0.675
90,1.5998
90,0.9418
90,0.6445
90,0.6199
90,0.7243
90,0.8719
90,0.6469
90,0.6425
90,0.5933
90,0.5795
90,0.6588
90,2.8246
90,0.9519
90,0.9609
90,2.4019
90,1.318
90,0.8534
90,0.6855
90,0.6915
90,0.8621
90,1.5821
90,2.2667
90,0.6252
90,0.5122
90,0.461
90,0.5111
90,0.4759
90,1.2125
90,0.8526
90,1.3104
90,0.5916
90,0.8228
90,0.4176
90,0.4454
90,0.7761
90,0.6159
90,0.8818
90,0.9865
110,0.6139
110,0.4062
110,0.4077
110,0.4719
110,1.0718
110,0.5529
110,5.4104
110,0.7469
110,0.8048
110,0.8885
110,0.8707
110,1.6429
110,0.4714
110,0.5446
110,0.5642
110,0.571
110,0.4035
110,1.1911
110,0.7102
110,0.3749
110,0.4814
110,0.4719
110,0.6986
110,0.6233
110,0.3869
110,0.5143
110,0.6858
110,0.4648
110,0.4268
110,0.4605
110,0.5711
110,0.3716
110,0.4021
110,0.3608
110,0.3767
110,0.3571
110,0.3732
110,0.3649
110,0.3501
110,0.3505
110,0.3572
110,0.3695
110,0.4009
110,0.3596
110,0.3765
110,0.4653
110,0.5041
110,0.3437
110,0.3716
110,0.3493
110,0.3571
110,0.352
110,0.3523
110,0.361
110,0.5237
110,0.4536
110,0.4282
110,0.4164
110,0.4008
110,0.3713
110,0.3518
110,0.3488
110,0.3653
110,0.3803
110,0.3857
110,0.3744
110,0.3682
110,0.9946
110,0.9737
110,1.8918
110,0.3933
110,0.3454
110,0.3495
110,0.366
110,0.3417
110,0.3501
110,0.3446
110,0.3501
110,0.354
110,0.3406
110,0.3436
110,0.3499
130,0.4296
130,0.4088
130,0.4143
