SampleSize,TimeMs
50,0.0185
50,0.0098
50,0.0157
50,0.0091
50,0.0031
50,0.0131
50,0.0073
50,0.0039
50,0.008
50,0.0089
50,0.0161
50,0.0136
50,0.0047
50,0.0022
50,0.0023
50,0.0026
50,0.0045
50,0.0031
50,0.0069
50,0.0036
50,0.012
50,0.0051
50,0.0096
50,0.0046
50,0.0141
50,0.0156
50,0.0171
50,0.0171
50,0.0148
50,0.0072
50,0.0132
50,0.0043
50,0.0114
50,0.0074
50,0.0058
50,0.0073
50,0.0079
50,0.0088
50,0.0039
50,0.0106
50,0.0586
70,0.0081
70,0.0075
70,0.0095
70,0.013
70,0.006
70,0.0056
70,0.0066
70,0.0088
70,0.0061
70,0.0165
70,0.0139
70,0.0089
70,0.0265
70,0.0078
70,0.0087
70,0.0123
70,0.0175
70,0.0069
70,0.0195
70,0.0048
70,0.0045
70,0.0035
70,0.0073
70,0.0243
70,0.0061
70,0.0046
70,0.006
70,0.0087
70,0.0073
70,0.0071
70,0.0087
70,0.0042
70,0.0066
70,0.0108
70,0.0097
70,0.0071
70,0.0042
70,0.0285
70,0.0073
70,0.0073
70,0.0285
90,0.0095
90,0.0111
90,0.0106
90,0.0095
90,0.0106
90,0.0098
90,0.014
90,0.0347
90,0.0115
90,0.0122
90,0.0048
90,0.0091
90,0.0091
90,0.0086
90,0.0136
90,0.0067
90,0.0065
90,0.0053
90,0.004
90,0.0049
90,0.0087
90,0.0053
90,0.0057
90,0.0051
90,0.0087
90,0.0042
90,0.0044
90,0.0107
90,0.0092
90,0.0086
90,0.0051
90,0.0068
90,0.0054
90,0.0049
90,0.0044
90,0.0042
90,0.118
90,0.0209
90,0.0023
90,0.0025
90,0.0042
110,0.0027
110,0.0028
110,0.0021
110,0.0036
110,0.0064
110,0.0049
110,0.0057
110,0.0045
110,0.0042
110,0.0044
110,0.003
110,0.0024
110,0.0023
110,0.0031
110,0.0036
110,0.0057
110,0.0029
110,0.0027
110,0.0032
110,0.0034
110,0.0022
110,0.0025
