SampleSize,TimeMs
50,45.99
50,9.3922
50,19.411
50,2.2125
50,7.1916
50,9.3806
50,5.7478
50,7.2172
50,5.6451
50,13.7568
50,7.5001
50,6.776
50,7.5881
50,8.273
50,3.1499
50,5.8256
50,2.3969
50,2.8906
50,3.0192
50,2.5159
50,2.5513
50,4.7243
50,3.5235
50,3.1694
50,2.7162
50,2.2046
50,5.2004
50,2.8081
50,10.4742
50,1.7415
50,2.9564
50,13.5745
50,4.0393
50,3.0495
50,8.5172
50,16.232
50,12.2228
50,2.3561
50,3.4855
50,13.2842
50,1.7929
50,4.0603
50,21.3891
50,3.4057
50,2.1722
50,2.2994
50,5.3501
50,2.8407
50,3.9552
50,1.8186
50,2.4945
50,34.057
50,1.457
50,1.261
50,1.5645
50,1.4172
50,1.6363
50,1.617
50,1.2726
50,1.794
50,1.5204
50,1.5491
50,1.6234
50,3.8712
50,3.0384
50,2.2273
50,2.5035
50,2.4783
50,2.5222
50,1.5821
50,2.8734
50,2.4559
50,3.2403
50,10.0481
50,5.3162
50,4.215
50,4.033
50,4.4004
50,2.973
50,2.9144
50,3.5181
50,2.2835
70,8.5477
70,8.0617
70,6.2419
70,5.176
70,4.6503
70,2.7868
70,2.111
70,2.2734
70,3.1818
70,1.9188
70,1.8371
70,1.9007
70,2.1367
70,2.1611
70,2.2575
70,1.8061
70,1.6935
70,1.9855
70,2.9198
70,3.6994
70,2.5849
70,3.3808
70,2.2799
70,1.999
70,2.0289
70,2.6332
70,1.8381
70,1.9274
70,1.8917
70,1.9497
70,2.0396
70,2.1966
70,1.9192
70,2.1487
70,2.0204
70,1.8985
70,1.6008
70,1.6496
70,1.7327
70,1.3289
70,1.4392
70,1.5296
70,2.2096
70,1.5692
70,1.5064
70,1.6718
70,2.2966
70,3.303
70,2.8759
70,1.9729
70,2.8427
70,3.1953
70,3.4799
70,4.1113
70,3.1209
70,2.1361
70,2.7783
70,2.0511
70,2.4014
70,2.7531
70,3.7189
70,1.3081
70,1.1204
70,1.6616
70,1.6755
70,1.58
70,1.8296
70,1.7641
70,1.4509
70,1.8092
70,1.1044
70,1.5229
70,2.1435
70,1.6646
70,1.0632
70,1.0813
70,1.3015
70,1.6186
70,1.8141
70,1.4122
70,1.1251
70,1.1379
90,3.0279
90,3.4183
90,3.2296
90,1.6202
90,1.9768
90,2.2546
90,1.4931
90,2.5471
90,1.6786
90,2.4504
90,3.5314
90,3.0613
90,1.5111
90,1.5204
90,1.7556
90,1.3736
90,1.5367
90,1.9753
90,1.3343
90,1.3478
90,1.4815
90,1.506
90,1.4343
90,1.4029
90,1.466
90,1.664
90,1.8853
90,1.7903
90,1.4195
90,2.3867
90,1.715
90,1.4118
90,1.5755
90,1.4718
90,1.6151
90,1.6053
90,1.7156
90,1.6617
90,1.5116
90,1.5438
90,3.1039
90,2.1602
90,1.5637
90,1.9971
90,1.4398
90,2.0506
90,1.3418
90,1.4661
90,1.4915
90,2.9317
90,2.4232
90,2.2364
90,1.6134
90,1.4143
90,2.1091
90,1.6917
90,1.5601
90,1.7017
90,1.6483
90,2.668
90,1.6532
90,2.0803
90,2.2043
90,1.2583
90,1.4475
90,1.5506
90,2.1996
90,1.8972
90,2.378
90,2.1658
90,1.1022
90,1.2672
90,1.5536
90,1.8889
90,1.9662
90,1.5188
90,1.2683
90,1.6006
90,1.6443
90,1.1778
90,1.6723
90,0.9456
110,1.1458
110,1.7434
110,1.9204
110,1.8714
110,2.1203
110,1.9445
110,2.0789
110,2.2328
110,2.3757
110,2.3972
110,2.3855
110,3.3963
110,2.4583
110,2.4471
110,1.7606
110,1.3005
110,1.4277
110,1.1611
110,0.8695
110,0.7956
110,0.837
